SampleID,Isdrillhol,SiO2_4AES_,TiO2_4AES_,Al2O3_4AES,Fe2O3_4AES,MnO_4AES_p,MgO_4AES_p,CaO_4AES_p,Na2O_4AES_,K2O_4AES_p,P2O5_4AES_,Cr2O3_4AES,TOT_C_4AES,TOT_S_4AES,LOI_4AES_p,Sum_4AES_p,Ba_4AES_pp,Cu_1DXMS_p,Pb_1DXMS_p,Zn_1DXMS_p,Ag_1DXMS_p,Au_1DXMS_p,As_1DXMS_p,Sb_1DXMS_p,Bi_1DXMS_p,Cd_1DXMS_p,Hg_1DXMS_p,Tl_1DXMS_p,Se_1DXMS_p,V_4AES_ppm,Ni_1DXMS_p,Co_4AES_pp,Sc_4AES_pp,Rb_4AES_pp,Sr_4AES_pp,Cs_4AES_pp,Sn_4AES_pp,W_4AES_ppm,Mo_1DXMS_p,Ga_4AES_pp,Be_4AES_pp,U_4AES_ppm,Hf_4AES_pp,Ta_4AES_pp,Th_4AES_pp,Nb_4AES_pp,Y_4AES_ppm,Zr_4AES_pp,La_4AES_pp,Ce_4AES_pp,Pr_4AES_pp,Nd_4AES_pp,Sm_4AES_pp,Eu_4AES_pp,Gd_4AES_pp,Tb_4AES_pp,Dy_4AES_pp,Ho_4AES_pp,Er_4AES_pp,Tm_4AES_pp,Yb_4AES_pp,Lu_4AES_pp,Wgt_4AES_k
TI0437,N,64.37,0.18,18.67,1.72,0.03,0.95,0.44,6.59,5.68,0.122,<0.002,<0.02,0.04,1.1,99.86,644,31.7,3.6,28,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,28,4.8,4.7,2,117.4,206.9,0.7,<1,<0.5,<0.1,16.4,<1,6.9,3.9,0.4,19.9,7.2,9.8,107.6,34,73.9,8.4,28.8,4.83,1.2,3.58,0.43,2.02,0.33,0.83,0.12,0.81,0.12,0.94
TI1047,N,70.12,0.187,16.06,1.24,0.02,0.67,2.48,6.18,1.2,0.074,<0.002,0.16,<0.02,1.7,99.95,343,1.7,2.2,34,<0.1,<0.5,1.8,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,19,3.3,4.2,2,23.4,262.9,0.7,<1,<0.5,<0.1,20.3,1,0.6,2.5,0.2,1.1,2.2,3.2,72.9,5.7,14.6,1.74,7.8,1.57,0.41,1.21,0.14,0.69,0.12,0.3,0.04,0.25,0.03,0.76
TI0171,N,69.12,0.181,14.95,1.71,0.03,1.35,3.27,0.7,3.68,0.069,<0.002,0.7,<0.02,4.8,99.87,611,0.9,1.4,25,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,16,2.8,2.7,2,69.2,90.1,0.4,<1,0.9,<0.1,18.3,<1,0.5,2.7,0.3,1.6,3.3,4.1,82.4,10.1,22.6,2.55,9.7,1.8,0.47,1.27,0.17,0.8,0.12,0.32,0.05,0.28,0.05,0.77
83J0393,N,67.7,0.214,16.77,2.66,0.04,1.9,0.73,6.24,1.82,0.061,0.002,<0.02,<0.02,1.7,99.85,491,5.9,0.6,35,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.6,42,14.6,5,4,38.6,138.7,0.5,<1,<0.5,0.2,19.1,<1,0.3,2.1,<0.1,1,1.5,2.7,79.7,8.6,15.6,1.65,7.2,1.13,0.63,0.92,0.13,0.52,0.1,0.25,0.04,0.19,0.03,1.08
TI0478,N,61.79,0.229,16.08,1.57,0.04,1.06,5.48,6.21,1.22,0.08,<0.002,1.45,0.09,6.1,99.88,358,3.5,1.4,37,<0.1,1.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,25,7.9,4.6,3,30.8,123.2,0.6,<1,1.2,<0.1,12.2,<1,0.3,1.6,0.2,0.6,2.1,2.3,59.1,4.9,11.2,1.38,5,1.02,0.32,0.73,0.09,0.45,0.07,0.16,0.03,0.18,0.02,0.8
TI0121,N,70.3,0.202,14,1.92,0.03,1,3.11,2.96,2.55,0.068,<0.002,0.68,0.2,3.8,99.9,530,2.6,2.2,20,<0.1,20.6,9.9,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,21,9.6,5.1,3,47.7,48.6,0.2,<1,6.9,0.2,19.8,<1,0.6,2.3,<0.1,1.9,1.5,2.9,92.6,8.9,19.1,2.04,8.2,1.49,0.38,1.07,0.14,0.62,0.1,0.29,0.04,0.24,0.04,0.65
MT87-12,N,67.26,0.232,15.79,2.19,0.03,1.19,3.03,5.02,1.16,0.067,0.003,0.62,<0.02,4,99.9,259,2.4,0.7,26,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,35,9.4,6.5,4,31.8,220.4,0.5,<1,<0.5,0.1,15.9,1,0.4,2.2,0.2,1.3,1.6,3.1,70.2,5.7,13.1,1.47,6.2,1.1,0.33,0.83,0.11,0.57,0.1,0.28,0.04,0.27,0.04,0.71
TI0362,N,69.86,0.232,15.56,2.3,0.03,1.3,3.34,3.96,1.45,0.073,0.011,0.04,<0.02,1.7,99.86,359,9.2,2.1,42,<0.1,1.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,27,31.1,3.6,4,33.9,296.5,1.1,<1,<0.5,<0.1,19.5,<1,0.6,2.6,0.2,1.1,2.5,4.2,82.8,8,18.5,2.04,7.7,1.42,0.5,1.03,0.15,0.86,0.13,0.36,0.07,0.35,0.05,1.07
TI0118,N,69.63,0.221,14.78,1.58,0.02,0.51,3.2,3.43,2.8,0.069,0.003,0.69,0.4,3.7,99.9,521,3.7,3.5,16,<0.1,16.3,24,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,18,13.8,4.2,3,68.7,86,0.3,<1,6,<0.1,20.2,<1,0.6,2.6,<0.1,1.9,1.5,3.1,98.2,9.6,20.2,2.12,7.5,1.5,0.42,1.04,0.14,0.58,0.09,0.28,0.04,0.23,0.04,0.61
KL1798,N,66.89,0.228,15.18,2.03,0.04,1.27,2.06,5.43,2.89,0.132,0.008,0.66,<0.02,3.5,99.64,1911,4.3,6,33,<0.1,0.6,0.8,0.4,<0.1,<0.1,<0.01,<0.1,<0.5,<8,15.3,5.2,4,71.2,663.9,1.7,<1,<0.5,0.1,18,2,2.9,3.6,0.3,5.7,6.8,9.1,119.6,25.6,56.1,6.17,24.6,4.41,1.08,3.04,0.38,1.76,0.3,0.71,0.13,0.7,0.11,0.45
KL0755,N,66.14,0.228,15.16,2.14,0.04,1.29,2.23,5.67,2.79,0.133,0.009,0.82,0.06,3.7,99.5,3649,1.4,5.7,14,<0.1,<0.5,1.3,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,26,6.2,3.9,4,74.9,701.8,2.6,1,0.5,0.1,18.1,3,3.2,3.5,0.3,4.7,6,9.1,113.5,23.3,48,5.91,24.2,4.09,1.12,2.74,0.37,1.73,0.29,0.79,0.12,0.78,0.12,0.61
03-PJM-022,N,71.45,0.233,15.44,1.72,0.06,0.7,1.28,2.93,3.24,0.082,0.003,0.25,<0.02,2.7,99.88,590,2.9,2.8,16,<0.1,467,16.8,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,20,16.1,4.3,3,80.6,46.1,0.5,<1,5.8,<0.1,19.9,<1,0.5,2.8,0.1,2.1,1.6,4.2,98.4,10.1,19.1,2.28,9.1,1.44,0.41,1.16,0.14,0.65,0.11,0.33,0.05,0.29,0.04,0.61
93D0096,N,79.03,0.173,11.39,1.07,0.01,0.54,0.19,5.17,1.5,0.051,0.007,0.03,<0.02,0.9,99.98,161,4,3.5,14,<0.1,<0.5,0.8,<0.1,0.2,<0.1,<0.01,<0.1,<0.5,26,10.2,3.4,3,37.2,45.5,0.5,1,<0.5,0.2,9.1,<1,1.5,2,0.3,3.6,3.1,6.5,78.2,2.2,5.7,0.78,3.8,1.25,0.39,1.31,0.2,1.09,0.21,0.63,0.09,0.57,0.09,0.7
85J0719,N,71.8,0.24,15.74,1.36,0.02,0.86,1.96,5.06,1.5,0.055,<0.002,0.05,<0.02,1.2,99.85,270,6.6,3.2,37,<0.1,<0.5,1.4,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,26,6.1,3.8,3,45.7,450.5,0.7,<1,<0.5,0.3,16.9,<1,0.3,2.5,0.2,1.1,1.9,2.7,89.4,7.7,16.4,1.7,6.5,1.05,0.41,0.87,0.12,0.5,0.09,0.22,0.04,0.21,0.03,1.46
85J0220,N,68.81,0.244,15.59,3.16,0.04,1.09,4.03,2.44,2.5,0.069,0.003,0.05,0.06,1.9,99.87,436,9.6,8.5,42,<0.1,0.9,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,27,6.4,5.6,4,83.4,214.8,2.2,<1,<0.5,0.6,19,<1,0.2,2.7,0.1,0.6,1.8,2.6,93.7,5.5,11.8,1.33,4.9,0.86,0.36,0.67,0.1,0.44,0.09,0.27,0.04,0.25,0.04,0.53
03-PJM-142a,N,68.27,0.24,15.09,2.09,0.01,1.12,2.03,5.16,2.07,0.079,0.004,0.8,0.06,3.6,99.81,466,304.3,0.6,8,0.2,9.8,9.8,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,35,7,9.4,4,54,335.3,0.8,2,5.5,7.5,22.4,1,0.7,3,0.2,1.5,2.6,8.1,96.8,10,21.9,2.75,11.2,2.41,0.71,2.05,0.31,1.47,0.29,0.84,0.12,0.81,0.12,0.8
76J0185,N,69.5,0.28,17.22,1.64,0.06,0.63,2.66,5.68,1.11,0.084,0.002,0.04,<0.02,1,99.86,385,2.3,1.1,41,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,16,1.2,1.7,3,30.4,425.5,0.9,<1,0.5,0.5,18.4,1,0.5,3.5,0.2,1.4,3.1,4.7,125.9,7.3,18.6,2.19,8.4,1.58,0.56,1.2,0.18,0.95,0.18,0.41,0.08,0.38,0.07,0.87
03-PJM-045,N,66.44,0.261,15.95,1.91,0.05,1.42,1.48,8.51,0.08,0.069,0.004,0.29,0.13,3.8,99.92,48,7.9,1.6,73,<0.1,5.2,2.3,<0.1,0.1,<0.1,0.03,<0.1,<0.5,28,5,7.3,3,0.8,77.7,<0.1,<1,1.1,1,16.4,<1,0.4,1.9,0.2,1,1.8,3.3,67.9,5.4,11.8,1.51,6.1,1.2,0.3,0.96,0.13,0.6,0.12,0.3,0.04,0.3,0.04,1.23
85J0361,N,67.06,0.269,15.1,2.56,0.05,1.69,1.66,5.88,3.4,0.166,0.01,0.23,0.02,1.6,99.49,2814,5.6,15.4,75,<0.1,<0.5,<0.5,<0.1,0.4,<0.1,<0.01,0.4,<0.5,43,21,7.1,4,74.4,1061.5,5.3,1,<0.5,<0.1,21.1,3,3.2,3.9,0.4,9,4.9,7.5,113,34.7,70.1,8.32,31.4,5,1.23,3.4,0.38,1.41,0.22,0.61,0.09,0.59,0.09,1.31
03-PJM-152a,N,64.12,0.296,16.23,2.62,0.06,1.47,4.34,3.44,2.14,0.108,0.007,0.92,0.16,5,99.86,384,2.5,3.5,54,<0.1,3.5,13.3,<0.1,<0.1,<0.1,0.01,<0.1,<0.5,37,27.9,7.6,4,53.4,230.3,1.6,<1,0.6,0.3,19.2,<1,0.7,2.7,0.2,1.8,2.7,4.4,95.4,10.3,21.7,2.54,10,1.67,0.47,1.16,0.17,0.8,0.16,0.44,0.06,0.4,0.06,1.03
32347,N,64.78,0.305,15.98,2.34,<0.01,1.47,2.99,5.64,1.67,0.115,0.003,0.87,0.08,4.5,99.85,303,23.2,1.2,14,<0.1,2.9,1.4,<0.1,<0.1,<0.1,0.02,<0.1,<0.5,55,16.5,6.7,4,48.5,290.4,0.2,<1,3.6,0.6,19.5,<1,1,2.6,0.2,2.8,2.6,5.7,88.4,11.4,25.7,3.21,13.4,2.48,0.59,1.67,0.22,0.98,0.2,0.52,0.09,0.46,0.07,0.73
31155,N,65.71,0.314,16.16,2.57,0.02,1.13,3.31,6.36,1.34,0.148,0.002,0.57,0.85,2.7,99.73,320,779.7,1.6,20,1.1,267,3.2,<0.1,1.4,<0.1,0.05,<0.1,0.5,54,4.3,20.4,4,37.2,405.1,0.2,1,3.2,0.6,18.4,<1,1.1,3,0.3,2.9,3.8,6.8,101.6,17.7,37.6,4.31,17.5,2.68,0.77,1.89,0.26,1.14,0.22,0.57,0.09,0.59,0.1,0.96
26333,N,62.59,0.296,15.07,4.13,0.04,1.74,3.48,4.44,2.59,0.131,0.005,1.16,1.62,5.4,99.87,224,482.5,8.4,25,0.2,121.4,13.7,0.7,0.5,<0.1,<0.01,<0.1,<0.5,40,24.4,9.3,4,69.9,155.2,1,2,12.8,17.1,17.5,<1,1.3,2.4,0.1,1.5,2.5,5.2,79.5,7.7,15.6,1.83,7.2,1.3,0.44,1.14,0.16,0.83,0.17,0.48,0.07,0.42,0.07,0.54
TB09004,N,66.24,0.31,15.45,2.47,0.04,1.22,3.69,3.63,2.74,0.087,0.002,0.77,<0.02,4,99.87,419,1.6,1,39,<0.1,1.2,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,29,10.4,5.6,5,44.2,193.4,0.3,<1,<0.5,<0.1,16.4,1,0.2,2.6,0.2,0.4,2.5,5.3,86.3,7,17.1,2.14,9.6,1.52,0.41,1.25,0.17,0.89,0.16,0.48,0.07,0.49,0.07,1.41
TI0327,N,60,0.347,17.18,3.63,0.1,1.73,5.11,3.89,3.22,0.108,0.002,1.11,0.61,4.5,99.79,698,65.9,2.9,173,<0.1,0.6,<0.5,<0.1,<0.1,0.3,<0.01,<0.1,0.7,42,15.5,6.8,8,71.7,218.1,0.9,2,0.7,0.7,20.9,<1,0.4,4.5,0.3,1.2,3.6,7.6,146.4,12.4,28.7,3.32,13.5,2.43,0.63,1.86,0.27,1.41,0.26,0.73,0.11,0.75,0.12,0.97
03-PJM-006,N,63.34,0.32,15.83,2.88,0.04,1.64,3.57,0.53,4.31,0.166,<0.002,1.5,0.39,7.2,99.84,654,2.7,2.4,17,<0.1,50.5,2.2,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,47,11.5,9.8,5,87,189.9,0.6,<1,3.1,0.6,21,1,0.7,2.7,0.2,2.5,3,5,95,15.6,33.3,3.85,15.1,2.43,0.62,1.56,0.2,0.99,0.17,0.46,0.07,0.45,0.07,0.79
TI3425,N,69.24,0.298,14.63,3.7,0.03,0.6,2,2.78,2.87,0.086,0.004,0.4,<0.02,3.6,99.89,440,2.1,0.6,32,<0.1,<0.5,2.6,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,35,16.8,7.3,5,43.2,69.8,0.9,<1,<0.5,0.3,16.9,<1,0.4,3.4,0.3,1.4,3.2,4.7,118.3,13.2,25.4,2.67,9.6,1.63,0.47,1.21,0.19,0.95,0.18,0.45,0.07,0.41,0.06,0.76
03-PJM-150a,N,67.19,0.326,15.94,2.53,0.03,1.19,2.4,5.49,1.45,0.157,0.002,0.47,<0.02,3.2,99.86,307,3.7,1.7,47,<0.1,<0.5,4.3,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,40,6.7,3.2,5,32.7,257.2,0.8,<1,0.5,0.1,19.9,<1,0.8,2.8,0.2,2.7,3.7,6.5,103.1,15.4,32.7,3.88,15.1,2.62,0.66,1.75,0.25,1.12,0.21,0.61,0.09,0.64,0.09,0.91
00-CMV-219B,N,67.86,0.343,16.62,2.78,0.06,0.48,1.69,3.85,2.77,0.115,<0.002,0.37,<0.02,3.3,99.85,578,3.2,2.1,80,<0.1,<0.5,0.9,<0.1,<0.1,0.2,<0.01,<0.1,<0.5,33,12.7,7.6,4,90.3,147.2,5.4,<1,<0.5,0.2,20.9,1,0.8,3.1,0.2,3,3.4,5,115.6,13.4,29.7,3.31,13.2,2.32,0.64,1.67,0.21,0.97,0.18,0.45,0.07,0.44,0.07,0.44
85J0325,N,68.45,0.33,15.93,1.91,0.02,0.79,3.37,5.43,1.96,0.115,<0.002,0.18,0.05,1.5,99.79,676,8.8,1.8,14,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,34,2.7,4.6,2,46.4,653,1.6,<1,<0.5,0.1,21.5,1,1,3.2,0.2,2.1,2.7,3.4,107.2,12.1,27.3,3.43,14.4,2.55,0.63,1.6,0.17,0.71,0.1,0.24,0.03,0.22,0.03,1.39
03-PJM-010,N,60.9,0.315,15.09,6.19,0.16,1.98,4.25,3.36,2.12,0.118,0.003,0.88,2.34,5.3,99.81,326,415.5,8.5,89,1.2,68.7,10.4,0.3,2.4,<0.1,0.04,<0.1,<0.5,37,15.1,12.8,4,51.4,114.6,2.1,<1,2,0.2,17.8,<1,0.8,2.6,0.2,2.4,3.1,5.7,89,12.1,25.9,3.1,12.6,2.12,0.73,1.56,0.22,1.02,0.2,0.55,0.08,0.53,0.08,1.11
404-43,N,64,0.325,15.49,3.62,0.02,1.21,2.09,7.84,0.51,0.149,<0.002,0.73,1.86,4.7,99.91,139,265.3,1.8,5,0.3,1187.8,51.3,0.1,0.4,<0.1,0.04,<0.1,<0.5,38,5.8,8.5,3,8.7,194.1,<0.1,<1,6.5,<0.1,16.4,<1,0.8,2.9,0.3,2.1,3.4,5.6,98.6,14.4,32,3.71,14.4,2.56,0.63,1.66,0.22,1.12,0.19,0.55,0.08,0.53,0.08,0.56
TRIP2,N,61.36,0.36,17.14,2.89,0.05,1.67,2.9,4.61,3.26,0.13,0.005,1.23,0.02,5.5,99.84,572,18.8,2.4,41,<0.1,2.6,4.1,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,56,17.2,7.5,5,66.2,142,0.6,<1,4.3,<0.1,17.5,<1,0.7,2.6,0.3,2.6,5.3,5.6,92.1,16.2,37.4,4.24,16.8,2.76,0.72,1.96,0.24,1.12,0.18,0.5,0.08,0.57,0.07,0.94
404-53,N,64.68,0.342,16.26,3.05,0.03,1.3,3.53,5.6,1.77,0.151,0.002,0.59,0.77,3.1,99.83,383,467.2,2.3,28,0.7,105.6,19.3,<0.1,0.9,0.2,0.03,<0.1,0.7,50,9.4,18.4,5,41.4,345.3,0.3,1,1.5,0.8,19.7,1,1,2.5,0.2,2.4,3.4,6.5,99.3,14.5,33.2,4.01,16.1,2.8,0.85,1.86,0.26,1.25,0.22,0.62,0.1,0.61,0.1,0.5
404-6,N,62.77,0.336,15.9,3.21,0.05,1.54,3.33,8.42,0.46,0.139,0.002,0.65,0.16,3.7,99.85,191,180.2,0.8,9,<0.1,16.3,2.5,<0.1,<0.1,<0.1,0.19,<0.1,<0.5,57,7.7,8.1,5,16,160.2,2.2,<1,5.1,0.1,20.3,<1,0.9,2.9,0.3,2.8,3.5,7,101.7,16.2,34.6,4.08,15.8,2.65,0.78,1.89,0.25,1.25,0.23,0.59,0.1,0.65,0.1,0.57
03-PJM-008,N,63.98,0.351,16.6,3.47,0.1,1.85,2.42,2.5,3.18,0.12,0.003,0.88,0.77,5.1,99.71,442,20.8,2.9,1323,0.1,8.2,17.5,0.2,0.2,3,0.19,<0.1,<0.5,42,16.1,7.5,4,78.4,98.1,1,<1,6.3,0.3,18.6,<1,0.7,2.7,0.2,2.3,3.2,5.1,94.5,12.8,27.5,3.25,12.8,2.2,0.58,1.51,0.21,0.98,0.17,0.46,0.07,0.46,0.07,0.67
KL1211,N,61.91,0.312,14.75,3.05,0.08,1.67,3.35,4.91,3.13,0.17,0.007,1.34,0.86,6.2,99.51,1978,9.3,12.3,33,0.1,3.5,9.3,1.1,0.1,<0.1,0.03,<0.1,<0.5,32,13.2,7.9,6,71.4,1472.6,3.9,<1,0.5,0.2,17.9,2,2.9,3.7,0.3,7.7,5.4,9.6,130.8,38.3,78.8,8.73,33.3,5.28,1.3,3.3,0.41,1.82,0.32,0.86,0.12,0.86,0.13,0.61
03-PJM-002,N,61.27,0.367,16.91,2.69,0.03,1.25,2.87,9.35,0.3,0.211,<0.002,1.04,0.7,4.6,99.89,91,47.8,2.3,4,0.1,587.8,17.4,0.3,0.9,<0.1,0.05,<0.1,<0.5,11,8.3,9.5,4,5.1,197.2,<0.1,<1,9.3,0.6,15.6,<1,0.7,2.9,0.2,2.5,3.7,6.2,100.1,19.1,38.7,4.46,17.5,2.9,0.8,2.01,0.26,1.22,0.22,0.59,0.09,0.57,0.09,0.95
KL0609,N,67.02,0.359,16.14,3.02,0.03,1.61,1.67,0.08,5.67,0.171,0.008,0.33,<0.02,4.1,99.85,659,2.8,13.1,27,<0.1,<0.5,1.1,0.6,<0.1,<0.1,<0.01,0.1,<0.5,41,14.7,5.5,7,206.4,318.3,7.7,1,0.8,<0.1,19.9,4,2.4,3.9,0.4,6,6.8,15.5,138.4,31.6,63.3,7.56,30.7,5.32,1.4,4.03,0.55,3.05,0.5,1.36,0.21,1.37,0.2,0.58
83J0302,N,67.73,0.363,16.29,3.78,0.05,2.16,2.24,3.22,1.61,0.124,0.004,0.02,<0.02,2.3,99.87,154,29.7,2.5,59,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,44,16.9,10.6,6,40.6,179.7,1.8,<1,2.1,0.2,19.7,<1,0.2,2.9,0.2,0.7,2.8,3.7,103.1,9.7,22.4,2.33,9.1,1.57,0.61,1.2,0.17,0.83,0.13,0.36,0.05,0.3,0.04,1.34
528-022,N,61.87,0.362,15.98,3.08,0.03,1.63,3.73,4.7,2.48,0.152,<0.002,1.31,1.02,5.9,99.87,542,6.7,1.3,11,<0.1,43.9,19.9,0.2,0.3,<0.1,0.04,<0.1,<0.5,52,10.8,8.6,5,50.9,340,0.3,<1,5.8,0.3,19.1,<1,0.9,2.7,0.3,2.4,3.5,6.3,97.8,15.1,33.4,3.82,14.7,2.5,0.7,1.72,0.25,1.22,0.22,0.61,0.09,0.6,0.09,0.7
73J1143,N,64.49,0.373,16.43,3.62,0.06,1.78,3.52,5.93,1.24,0.155,0.005,0.06,0.08,2.2,99.8,228,17.1,2.8,48,<0.1,<0.5,0.6,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,56,19.1,11.4,6,12.3,598.8,<0.1,<1,<0.5,<0.1,18.9,1,1.1,2.9,0.4,4.6,8.3,7.9,106.6,35,78.4,9.21,34.4,4.66,1.1,2.8,0.34,1.5,0.25,0.73,0.1,0.67,0.11,0.72
TI3488,N,53.23,0.281,12.35,2.86,0.23,0.99,13.38,3.14,2.1,0.09,0.006,2.7,0.03,11.2,99.86,633,11.6,2.8,41,<0.1,1.5,<0.5,<0.1,0.1,<0.1,<0.01,<0.1,<0.5,36,62.2,7.1,5,84.3,321.6,3.9,<1,<0.5,0.6,15.7,2,0.7,2.6,0.3,2.1,3.7,6.6,91.1,13.1,25.7,3.11,11.6,1.99,0.55,1.56,0.23,1.11,0.2,0.52,0.09,0.58,0.09,0.58
003VOI0305-1,N,58.87,0.381,16.74,4.09,0.08,1.09,2.28,6.73,4.83,0.179,<0.002,0.92,1.32,4.4,99.64,1090,607.6,45.1,65,0.4,288.7,5,1.7,1.3,0.2,<0.01,<0.1,<0.5,67,9.3,9.4,6,102.2,435.7,1.3,32,7.3,1.6,19.9,<1,3.2,3.8,0.3,11.4,6.1,13,155,44,85.9,9.01,31.4,4.94,1.26,3.3,0.47,2.3,0.45,1.32,0.21,1.4,0.23,0.11
528-030,N,63.11,0.358,15.72,2.88,0.03,1.43,3.84,5.13,2,0.137,<0.002,1.06,0.25,5.2,99.8,481,122,0.7,13,<0.1,64.6,0.7,<0.1,<0.1,<0.1,0.24,<0.1,<0.5,68,8.6,8.4,5,46,386.4,0.4,<1,5.5,0.6,18.2,1,0.9,2.5,0.3,2.5,3.7,6.5,91.1,14.9,32.5,3.8,15.6,2.57,0.67,1.69,0.24,1.15,0.23,0.58,0.1,0.56,0.1,0.8
TI4355,N,65.27,0.386,16.68,3.75,0.06,3.29,0.76,6.84,0.56,0.145,0.012,0.06,<0.02,2.1,99.88,185,10.9,11.4,46,<0.1,<0.5,2,<0.1,<0.1,0.2,<0.01,<0.1,<0.5,55,37.3,10,6,14.6,97.4,0.3,<1,<0.5,0.3,16.3,<1,0.8,2.9,0.2,2.4,3.6,4.8,108.6,8.8,23.2,2.54,10.8,1.65,0.41,1.14,0.16,0.74,0.14,0.49,0.08,0.5,0.09,0.34
03-PJM-140a,N,59.32,0.357,15.3,6.8,0.1,1.87,3.28,0.44,4.1,0.174,0.002,1.74,1.59,8,99.74,896,349.7,1.6,113,0.6,15.8,1.8,<0.1,0.4,<0.1,0.01,<0.1,<0.5,48,14.1,13.3,5,107.8,70.1,2.3,2,3.6,1.1,18.9,<1,1.3,2.8,0.2,2.8,3.6,7.1,100.5,13.9,30.6,3.64,14.6,2.36,0.59,1.68,0.24,1.15,0.23,0.67,0.11,0.66,0.1,1.19
TI0328,N,71.79,0.329,14.05,3.61,0.39,0.93,0.78,0.3,3.8,0.073,<0.002,0.35,0.58,3.5,99.59,443,17.4,471.8,2136,6.1,22.3,27.3,0.9,0.6,12,0.04,<0.1,1.3,32,7.7,5.8,7,87.7,28.6,1.2,20,1.2,1,15.1,<1,1.7,4.8,0.8,6.1,6.5,16.5,145.1,22.3,43.2,5.14,19.2,3.4,0.76,3.02,0.47,2.58,0.56,1.67,0.28,1.86,0.29,0.4
85J0717,N,58.77,0.461,19.41,4.07,0.06,2.72,0.59,2.13,4.69,0.119,0.026,1.63,1.05,6.7,99.75,665,86.4,21.1,724,0.2,<0.5,9.5,0.1,0.4,1.6,0.03,<0.1,1.8,80,102.5,15,14,121.6,127.8,3.7,10,0.7,2.3,26.9,<1,1.6,4.3,0.5,6.5,5.4,13,150.8,3.6,10.3,1.49,6.2,2.22,0.8,2.46,0.43,2.41,0.47,1.2,0.19,1.25,0.2,0.54
SM09004,N,64.87,0.404,16.68,2.63,0.04,1.14,3.61,4.73,2.05,0.126,0.002,0.55,<0.02,3.5,99.83,552,12.7,1.2,43,<0.1,1.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,47,9.1,7.7,4,51.9,427.8,0.6,1,2.8,<0.1,21.5,<1,0.7,3.2,0.2,2.5,3.4,5.7,115.7,16.9,37.1,4.5,18.8,3.19,0.8,2.31,0.27,1.24,0.19,0.53,0.08,0.5,0.08,1.03
93D0013,N,67.86,0.39,15.82,2.44,0.03,0.94,2.16,5.67,3.23,0.229,<0.002,0.02,<0.02,0.8,99.56,1972,3.1,5.9,26,<0.1,1.8,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,33,1.6,3.4,3,67.6,1394.8,0.9,1,<0.5,0.1,24,2,1.5,4,0.2,5.8,3.2,5.1,127.8,34.1,80.5,9.6,38.9,6.8,1.6,3.92,0.38,1.33,0.13,0.32,0.04,0.23,0.03,0.37
KL1074,N,61.73,0.34,13.55,3.27,0.07,2.3,3.89,4.48,3.31,0.153,0.021,1.54,0.08,6.5,99.6,1943,18.3,13.4,31,<0.1,1,1.6,0.9,0.1,<0.1,<0.01,<0.1,<0.5,32,34.9,7.5,8,97.1,728.3,2.4,1,1.4,0.7,17.5,3,3.1,4.1,0.3,5.4,6.4,14.4,133.4,29.8,63,7.54,30.5,5.41,1.39,4.14,0.56,2.51,0.48,1.27,0.2,1.17,0.19,0.67
83J0212,N,69.13,0.359,14.24,3.74,0.03,3.07,0.39,6.03,0.25,0.123,0.012,0.04,<0.02,2.5,99.88,31,5.9,2.4,23,<0.1,0.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,73,38.1,11.5,9,6.5,149.6,0.3,1,0.9,0.5,18.3,<1,2.7,3.4,0.5,8.6,5.2,6.5,119.9,6.9,16.7,1.86,6.6,1.39,0.38,1.23,0.22,1.16,0.25,0.74,0.13,0.8,0.13,0.92
