SampleID,Isdrillhol,SiO2_4AES_,TiO2_4AES_,Al2O3_4AES,Fe2O3_4AES,MnO_4AES_p,MgO_4AES_p,CaO_4AES_p,Na2O_4AES_,K2O_4AES_p,P2O5_4AES_,Cr2O3_4AES,TOT_C_4AES,TOT_S_4AES,LOI_4AES_p,Sum_4AES_p,Ba_4AES_pp,Cu_1DXMS_p,Pb_1DXMS_p,Zn_1DXMS_p,Ag_1DXMS_p,Au_1DXMS_p,As_1DXMS_p,Sb_1DXMS_p,Bi_1DXMS_p,Cd_1DXMS_p,Hg_1DXMS_p,Tl_1DXMS_p,Se_1DXMS_p,V_4AES_ppm,Ni_1DXMS_p,Co_4AES_pp,Sc_4AES_pp,Rb_4AES_pp,Sr_4AES_pp,Cs_4AES_pp,Sn_4AES_pp,W_4AES_ppm,Mo_1DXMS_p,Ga_4AES_pp,Be_4AES_pp,U_4AES_ppm,Hf_4AES_pp,Ta_4AES_pp,Th_4AES_pp,Nb_4AES_pp,Y_4AES_ppm,Zr_4AES_pp,La_4AES_pp,Ce_4AES_pp,Pr_4AES_pp,Nd_4AES_pp,Sm_4AES_pp,Eu_4AES_pp,Gd_4AES_pp,Tb_4AES_pp,Dy_4AES_pp,Ho_4AES_pp,Er_4AES_pp,Tm_4AES_pp,Yb_4AES_pp,Lu_4AES_pp,Wgt_4AES_k
K63-19,N,48.14,2.01,12.71,13.99,0.21,4.04,7.12,2.04,1.09,0.215,0.008,1.51,0.15,8.2,99.78,245,100,1,147,<0.1,1,0.7,<0.1,<0.1,<0.1,<0.01,<0.1,1,386,59.5,55,43,37.8,112.9,1.3,3,<0.5,0.5,20.3,1,0.3,5.4,0.5,0.7,8,45.3,154.6,8.7,24.5,3.66,17.1,5.29,1.61,7.05,1.29,7.77,1.67,4.98,0.72,5.04,0.73,1.16
83J0368,N,47.92,1.993,12.51,19.3,0.27,5.47,7.47,3.02,0.3,0.178,0.007,0.02,0.07,1.3,99.73,45,79.5,0.7,33,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,507,14.1,55.9,54,6.7,103.1,0.1,<1,<0.5,0.4,17.5,<1,0.2,2.5,0.3,0.5,4.2,32.6,89.9,4.3,13.1,2.08,11.4,3.36,1.23,4.67,0.88,5.49,1.2,3.52,0.57,3.51,0.54,0.73
74F1207,N,48.97,2.323,14.32,14.69,0.29,5.62,8.8,2.69,0.25,0.25,0.021,0.07,0.03,1.5,99.74,81,53.4,3.7,44,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,431,45.3,55.6,37,7.8,191.2,0.2,<1,<0.5,0.2,19,<1,0,2.4,0.2,0.2,3.3,27.3,80.1,3.8,11.3,1.81,9.6,3.27,1.36,4.42,0.81,4.94,1.04,3.16,0.46,2.96,0.44,0.66
KL1652,N,47.58,2.204,13.57,16.59,0.2,6.35,6.81,2.69,0.21,0.175,0.012,0.07,0.12,3.3,99.73,27,38.3,0.4,72,<0.1,4.1,0.7,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,502,33.2,43.2,49,5.6,133,0.1,<1,<0.5,0.3,19.1,<1,0.1,2.6,0.3,0.4,3.9,31.2,88.3,4.9,14.3,2.11,10.9,3.54,1.37,4.69,0.87,5.32,1.21,3.42,0.54,3.36,0.52,0.63
92J0777,N,49.9,2.08,12.72,17.36,0.24,4.44,6.84,3.46,0.15,0.219,0.003,0.09,0.07,2.4,99.76,95,50.8,2.6,93,0.1,2.1,0.6,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,428,22.8,42,45,5.1,150.4,1,1,<0.5,0.2,19.4,<1,0.1,3.1,0.3,0.5,4.4,42.3,104.5,5.5,16.2,2.63,14,4.39,1.59,6,1.13,7.02,1.54,4.51,0.7,4.51,0.69,0.94
73J1804,N,49.48,2.018,12.33,18.59,0.23,4.81,7.04,3.3,0.45,0.147,0.003,0.06,0.08,1.3,99.75,70,77.4,1.2,159,<0.1,<0.5,<0.5,<0.1,<0.1,0.2,0.02,<0.1,<0.5,473,12.1,45,47,14.8,135.1,0.6,<1,<0.5,0.4,21.3,<1,0.1,3.7,0.4,0.4,5.5,43.6,133.3,5.8,17.6,2.63,15.1,4.66,1.42,6.53,1.22,7.38,1.61,4.93,0.71,4.67,0.69,0.47
76J0070,N,49.12,2.274,13.85,9.28,0.13,2.3,6.26,4.5,2.34,0.171,0.003,2.67,0.76,9.6,99.79,72,31.7,1.8,78,<0.1,26.4,3.3,0.2,<0.1,<0.1,0.01,<0.1,<0.5,566,22.6,45.7,55,46.4,77.2,1.5,<1,37.9,0.2,22.7,1,0.2,3.5,0.3,0.5,4.5,27.5,102.5,5.2,14.6,2.18,10.3,3.26,1.4,4.06,0.77,4.77,0.99,3.02,0.45,3.03,0.43,0.32
TI1638,N,41.31,1.863,11.27,16.04,0.18,3.79,11.35,2.05,0.02,0.19,<0.002,2.42,<0.02,11.7,99.83,18,77.3,2,125,<0.1,1.2,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.6,423,21.7,49.9,43,0.5,164.4,0.3,1,<0.5,0.2,16.2,<1,0,2.7,0.3,0.4,4.1,27.6,89.9,5.5,13.9,2.21,10.5,3.36,1.13,4.26,0.76,4.72,0.98,2.82,0.43,2.77,0.44,0.64
KL0796,N,47.87,2.195,13.01,16.5,0.24,6.32,8.86,2.13,0.83,0.22,0.016,0.12,0.25,1.6,99.76,58,57.4,0.6,38,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.5,398,31.8,46.1,42,28.7,112.7,0.7,<1,0.6,0.4,17.2,<1,0.1,2.2,0.2,0.2,3.2,27.2,74.6,4,11.2,1.77,9,2.94,1.21,4.09,0.75,4.34,1.01,2.95,0.45,2.81,0.45,0.54
73S0763,N,50.35,2.037,11.83,19,0.24,4.19,7.85,1.92,0.16,0.16,<0.002,0.04,0.19,2,99.75,34,75.4,1.7,105,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,398,6.7,46.7,43,4.3,132.3,0.5,3,<0.5,0.5,19.1,<1,0.2,3.8,0.3,0.7,5.7,43.6,119.2,8.4,21.1,3.14,15.4,4.48,1.68,6.04,1.13,7.26,1.56,4.56,0.71,4.63,0.71,0.7
