SampleID,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Total C,Total S,LOI,Sum,Ba,Cu,Pb,Zn,Ag,Au,As,Sb,Bi,Cd,Hg,Tl,Se,V,Ni,Ni,Co,Sc,Rb,Sr,Cs,Sn,W,Mo,Ga,Be,U,Hf,Ta,Th,Nb,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Wgt,Al2O3/TiO2,Zr/Al2O3,Zr/TiO2,Zr/Y,Zr/Nb,Nb/Y,Th/Yb,(La/Yb)n,(Th/Nb)n,,Affinity,Chemical group,Ishikawa Index,Chlorite Index ,Na2O+CaO,K2O/(K2O+Na2O+CaO),Na2O/(Na2O+K2O),ACN Index,S+C,S/(S+C) (x100),Total BM,Jensen group ,Cat% Al,Cat% Fe+Ti,Cat% Mg,FeO,Cat Al,Cat Fe,Cat Ti,Cat Mg
KL1035 37.2M,63.98,0.568,15.11,6.15,0.05,2.53,1.69,3.98,2.08,0.145,0.027,0.30,0.30,3.5,99.79,496,48.3,3.4,54,<0.1,8.4,4.5,0.3,0.2,<0.1,<0.01,<0.1,<0.5,89,86,77.7,21.5,14,66.5,244.5,1.9,<1,1.1,1.7,16.4,<1,1.6,3.9,0.4,6.2,5.4,12.7,131.0,26.1,56.8,6.7,26.5,4.1,1.1,3.1,0.5,2.3,0.5,1.2,0.2,1.2,0.2,0.6,26.6,8.7,231,10.3,24.3,0.4,5.3,16.1,9.6,,ALK,Intermediate ,44.8,57.9,5.7,26.8,65.7,2.7,0.6,50.0,105.7,,,,,,,,,
85J0571,59.17,0.610,16.21,6.20,0.14,4.82,6.03,3.61,0.99,0.273,0.019,<0.02,0.07,1.6,99.72,236,33.3,36.9,126,<0.1,<0.5,<0.5,<0.1,<0.1,0.5,<0.01,0.1,<0.5,129,120,63.6,26.5,17,24.6,606.4,1.3,<1,<0.5,0.2,15.6,<1,1.0,2.4,0.3,4.2,2.8,13.8,97.6,25.7,63.0,7.8,30.3,5.2,1.4,3.7,0.5,2.6,0.5,1.3,0.2,1.2,0.2,0.8,26.6,6.0,160,7.1,34.9,0.2,3.4,14.9,15.5,,ALK,Intermediate ,37.6,51.7,9.6,9.3,78.5,1.7,0.1,77.8,196.2,,,,,,,,,
73J1628,63.42,0.619,16.42,4.67,0.05,1.99,4.00,6.97,0.06,0.130,0.007,0.08,<0.02,1.5,99.87,44,31.2,1.2,20,<0.1,1.8,0.7,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,94,30,20.5,14.5,9,0.5,204.9,<0.1,32,<0.5,0.5,17.6,<1,0.4,2.9,0.3,1.8,3.3,7.8,104.4,14.3,29.3,3.3,12.6,2.3,0.8,1.9,0.3,1.4,0.3,0.8,0.1,0.7,0.1,0.6,26.5,6.4,169,13.4,31.6,0.4,2.7,15.3,9.0,,ALK,Intermediate ,15.7,36.0,11.0,0.5,99.1,1.5,0.1,20.0,52.4,,,,,,,,,
UC.09.01 181.8M,53.10,0.602,15.70,7.14,0.15,3.66,4.97,4.96,3.86,0.349,0.009,0.94,0.04,5.0,99.51,2027,150,32,163,0.1,17.1,23,0.4,<0.1,0.1,<0.01,0.3,<0.5,185,21,17.0,20.2,19,132,425,4.1,1,5.1,16.2,17.2,2,2.9,4.4,0.3,10.0,6.1,23.6,177.8,53.6,111.9,12.20,45.6,7.50,1.90,5.57,0.80,3.92,0.81,2.17,0.35,2.15,0.34,,26.1,11.3,295,7.5,29.1,0.3,4.7,17.9,13.8,,ALK,Intermediate ,43.1,50.3,9.9,28.0,56.2,1.6,1.0,4.1,344.9,,,,,,,,,
KL1049 33FT,49.78,0.585,14.69,7.71,0.23,4.12,6.93,3.98,3.49,0.375,0.009,1.40,0.54,7.4,99.33,3453,143.9,78.1,128,0.4,5,14.4,0.3,0.9,0.1,0.02,<0.1,<0.5,160,25,20.9,21.2,19,61.9,460.6,2.2,<1,8.7,46.1,17.2,3,3.5,3.6,0.3,12.3,5.7,18.3,136.4,63.0,124.1,13.5,53.1,8.1,1.8,5.6,0.7,3.4,0.6,1.7,0.3,1.7,0.3,0.6,25.1,9.3,233,7.5,23.9,0.3,7.2,26.4,18.1,,ALK,Intermediate ,41.1,49.2,10.9,24.2,53.3,1.3,1.9,27.8,350.0,,,,,,,,,
73J1114,55.56,0.648,16.07,5.85,0.09,4.48,8.02,5.82,0.12,0.250,0.025,0.06,0.18,2.8,99.74,107,27.9,36.5,39,<0.1,<0.5,<0.5,0.6,<0.1,<0.1,<0.01,<0.1,<0.5,118,73,35.4,22.4,12,1.8,667.3,<0.1,43,<0.5,<0.1,18.3,<1,0.7,2.8,0.2,2.5,4.6,8.7,96.3,24.2,57.3,6.9,28.7,4.9,1.3,3.4,0.4,1.9,0.3,1.0,0.1,0.9,0.1,1.0,24.8,6.0,149,11.1,20.9,0.5,2.9,20.2,11.4,,ALK,Intermediate ,24.9,40.9,13.8,0.9,98.0,1.2,0.2,75.0,103.4,,,,,,,,,
KL0425 30FT,52.63,0.484,11.98,5.56,0.09,7.78,6.27,0.26,1.81,0.227,0.040,2.62,<0.02,12.6,99.74,609,49.2,6.1,54,<0.1,<0.5,17.9,0.7,0.2,0.1,<0.01,<0.1,<0.5,102,342,214.1,16.3,13,56.0,397.4,2.1,<1,1.1,0.4,13.3,1,1.8,2.3,0.3,4.2,4.0,11.9,93.9,20.9,42.1,5.0,19.1,3.4,1.0,2.6,0.4,2.2,0.4,1.1,0.2,1.1,0.2,0.7,24.8,7.8,194,7.9,23.5,0.3,3.8,13.5,13.6,,ALK,Intermediate ,59.5,66.2,6.5,21.7,12.6,1.8,2.6,0.4,109.3,,,,,,,,,
93D0168,70.62,0.476,11.72,6.47,0.08,3.07,0.57,3.24,1.35,0.086,0.017,0.04,0.08,2.2,99.89,199,16.5,2.1,56,<0.1,11.4,1.3,<0.1,0.8,<0.1,<0.01,<0.1,<0.5,91,54,55.9,28.2,12,46.3,106.9,0.9,<1,0.6,1.5,13.2,1,2.1,2.7,0.3,4.1,4.0,9.2,101.2,12.5,26.7,3.0,11.4,2.2,0.6,2.0,0.4,2.0,0.4,1.0,0.2,1.0,0.2,0.6,24.6,8.6,213,11.0,25.3,0.4,4.1,8.9,8.6,,ALK,Intermediate ,53.7,69.8,3.8,26.2,70.6,3.1,0.1,66.7,74.6,,,,,,,,,
SM09003,60.61,0.563,13.54,6.69,0.09,6.74,2.26,3.67,1.23,0.134,0.070,0.17,0.08,4.1,99.74,359,58,3,64,<0.1,30.6,15,0.1,0.2,<0.1,<0.01,<0.1,<0.5,126,297,272.8,36.9,18,27,218,0.7,<1,1.1,0.7,15.4,1,1.7,3.3,0.4,5.3,4.7,12.7,120.2,19.6,43.4,5.35,21.4,3.74,0.95,3.06,0.45,2.41,0.45,1.28,0.21,1.26,0.19,,24.0,8.9,213,9.5,25.6,0.4,4.2,11.2,9.5,,ALK,Intermediate ,57.3,68.2,5.9,17.2,74.9,2.3,0.3,32.0,124.8,,,,,,,,,
HD-09-30 4.3M,51.24,0.623,14.97,6.35,0.14,2.51,4.99,2.69,8.49,0.420,0.007,1.74,1.49,7.1,99.54,1455,267.9,10.4,32,1.5,1106,6.9,0.4,<0.1,<0.1,0.07,<0.1,1.1,159,<20,15.3,15.9,12,130.7,776.0,1.0,<1,18.8,1.1,17.5,4,2.8,5.2,0.3,10.8,9.8,24.2,214.8,68.0,147.4,16.9,67.7,10.7,2.6,7.2,1.0,4.5,0.8,2.2,0.3,2.1,0.3,0.4,24.0,14.3,345,8.9,21.9,0.4,5.1,22.9,9.2,,ALK,Intermediate ,58.9,47.4,7.7,52.5,24.1,1.9,3.2,46.1,310.3,,,,,,,,,
KL0605 20.9M,57.67,0.633,15.14,6.24,0.10,2.22,3.34,3.55,2.83,0.197,0.026,1.93,0.35,7.9,99.88,403,23.5,3.0,39,<0.1,12,4.7,0.5,0.3,<0.1,0.03,<0.1,<0.5,106,70,58.0,21.7,14,78.3,165.7,1.9,<1,1.9,2.8,17.1,1,1.3,3.2,0.4,4.2,5.0,13.1,117.9,26.1,54.4,6.7,27.6,4.7,1.1,3.3,0.5,2.6,0.5,1.3,0.2,1.2,0.2,0.4,23.9,7.8,186,9.0,23.6,0.4,3.4,15.1,21.7,,ALK,Intermediate ,42.3,52.2,6.9,29.1,55.6,2.2,2.3,15.4,65.5,,,,,,,,,
TRIP3,63.83,0.673,15.80,6.32,0.07,2.58,1.94,3.03,1.72,0.158,0.025,0.42,0.04,3.7,99.81,434,56,5,89,<0.1,1.5,13,<0.1,0.2,0.1,<0.01,<0.1,<0.5,130,83,68.8,20.9,17,56,195,2.7,<1,1.0,0.5,17.3,<1,1.0,3.7,0.4,3.7,5.3,12.2,134.0,21.2,48.2,5.80,24.1,3.83,0.97,3.05,0.44,2.41,0.43,1.25,0.19,1.28,0.19,,23.5,8.5,199,11.0,25.3,0.4,2.9,11.9,5.9,,ALK,Intermediate ,46.4,62.4,5.0,25.7,63.8,3.2,0.5,8.7,150.2,,,,,,,,,
85J0753,55.66,0.574,13.43,4.58,0.10,3.25,6.24,5.03,1.54,0.258,0.022,2.42,0.38,9.1,99.74,514,21.3,4.3,33,<0.1,121.9,115.3,0.7,0.1,<0.1,0.02,<0.1,<0.5,82,122,102.3,17.6,9,35.8,471.2,0.5,<1,14.4,<0.1,17.4,<1,2.4,3.5,0.3,7.0,5.3,13.1,120.5,41.9,91.3,10.8,42.1,7.5,1.8,5.5,0.6,2.9,0.5,1.1,0.2,1.2,0.2,1.7,23.4,9.0,210,9.2,22.7,0.4,6.1,26.1,11.1,,ALK,Intermediate ,29.8,38.4,11.3,12.0,76.6,1.2,2.8,13.6,58.6,,,,,,,,,
73J1118,66.09,0.689,15.94,2.30,0.02,1.98,3.61,5.94,0.76,0.134,0.009,0.26,<0.02,2.4,99.87,131,3.3,1.4,31,<0.1,0.7,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,130,41,39.7,6.6,11,15.8,199.4,0.3,<1,<0.5,0.1,16.1,<1,0.3,2.7,0.2,1.4,2.9,5.6,98.3,8.3,17.7,2.0,8.9,1.8,0.6,1.6,0.2,1.2,0.2,0.6,0.1,0.6,0.1,1.0,23.1,6.2,143,17.6,33.9,0.5,2.3,9.6,9.0,,ALK,Intermediate ,22.3,29.7,9.6,7.4,88.7,1.7,0.3,7.1,35.7,,,,,,,,,
83J0277,58.10,0.650,14.71,5.08,0.08,5.62,5.67,3.90,3.09,0.262,0.030,0.04,0.09,2.3,99.52,1597,20.3,2.4,12,<0.1,23.4,2.9,0.6,0.4,<0.1,<0.01,<0.1,<0.5,119,103,29.7,9.5,13,83.9,1071.8,2.4,1,1.3,0.2,20.5,1,1.7,3.8,0.3,6.8,4.7,14.7,133.5,42.2,90.8,10.6,40.1,7.1,1.8,4.8,0.6,2.9,0.5,1.3,0.2,1.3,0.2,1.4,22.6,9.1,205,9.1,28.4,0.3,5.4,24.2,12.1,,ALK,Intermediate ,47.6,51.4,9.6,24.4,55.8,1.5,0.1,69.2,34.7,,,,,,,,,
SM09001,62.99,0.582,13.08,9.10,0.15,3.44,2.16,3.60,0.79,0.150,0.028,0.34,0.11,3.7,99.77,245,326,2,81,<0.1,4.3,7,0.1,0.6,<0.1,0.01,<0.1,0.5,131,101,97.0,48.8,16,33,167,1.1,<1,1.0,3.1,15.6,<1,2.6,3.6,0.4,4.9,4.9,12.9,129.0,17.5,37.6,4.38,17.5,3.38,0.84,2.91,0.44,2.42,0.46,1.42,0.22,1.35,0.20,,22.5,9.9,222,10.0,26.3,0.4,3.6,9.3,8.4,,ALK,Intermediate ,42.3,66.7,5.8,12.1,82.0,2.3,0.5,24.4,408.8,,,,,,,,,
KL0576 106FT,60.03,0.538,12.06,5.91,0.14,3.69,4.17,2.60,2.66,0.138,0.031,1.72,<0.02,7.8,99.82,508,34.4,2.0,36,<0.1,19.3,4.7,0.5,0.3,<0.1,<0.01,<0.1,<0.5,100,89,74.9,18.9,15,112.6,426.2,3.5,<1,1.1,0.8,13.4,2,0.8,2.4,0.2,2.8,3.4,11.2,90.2,20.4,42.7,5.2,20.9,3.7,1.0,2.7,0.4,2.2,0.4,1.1,0.2,1.1,0.2,0.6,22.4,7.5,168,8.1,26.5,0.3,2.6,13.7,13.6,,ALK,Intermediate ,48.4,57.1,6.8,28.2,49.4,1.8,1.7,0.6,72.4,,,,,,,,,
93D0148,63.37,0.677,14.95,7.51,0.09,3.01,1.15,3.91,2.73,0.118,0.021,0.04,0.10,2.3,99.80,504,69.6,5.0,80,<0.1,1,3.6,0.2,0.4,<0.1,<0.01,<0.1,0.9,124,63,69.4,21.9,17,101.1,234.5,2.2,2,<0.5,1.0,19.3,2,4.2,5.3,0.7,10.0,7.1,16.3,172.7,26.7,59.3,6.5,23.8,4.4,1.0,3.7,0.6,3.2,0.6,1.7,0.3,1.7,0.3,0.3,22.1,11.6,255,10.6,24.3,0.4,5.8,11.1,11.8,,ALK,Intermediate ,53.1,65.7,5.1,35.0,58.9,3.0,0.1,71.4,154.6,,,,,,,,,
83J0282,57.45,0.686,14.88,6.55,0.10,5.18,5.31,3.81,2.03,0.245,0.030,<0.02,0.60,3.3,99.59,1168,51.3,2.5,46,<0.1,6.9,1.7,0.3,0.2,<0.1,<0.01,0.2,<0.5,134,113,76.6,19.2,16,65.1,933.9,2.3,<1,0.6,1.1,18.4,1,1.4,4.2,0.3,4.6,4.9,17.0,131.4,32.1,70.2,8.4,33.3,6.0,1.5,4.4,0.6,3.1,0.6,1.6,0.3,1.5,0.2,1.0,21.7,8.8,192,7.7,26.8,0.3,3.0,15.0,15.2,,ALK,Intermediate ,44.2,53.6,9.1,18.2,65.2,1.6,0.6,96.8,99.8,,,,,,,,,
92J0716,62.36,0.728,15.55,6.30,0.08,2.54,3.93,4.53,0.79,0.285,0.010,0.16,0.04,2.7,99.80,165,27.8,2.0,77,<0.1,<0.5,<0.5,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,106,25,30.7,17.2,12,22.8,357.7,1.1,1,0.5,0.4,19.0,<1,1.1,5.1,0.6,4.6,11.4,17.5,197.3,43.9,102.4,11.8,41.6,6.4,1.7,5.1,0.7,3.3,0.6,1.8,0.3,1.6,0.3,1.1,21.4,12.7,271,11.3,17.3,0.7,2.9,20.2,3.4,,ALK,Intermediate ,28.2,49.1,8.5,8.5,85.2,1.8,0.2,20.0,106.8,,,,,,,,,
KL0630 17FT,57.21,0.564,11.95,5.67,0.10,3.80,4.79,3.14,1.70,0.138,0.029,2.90,0.07,10.7,99.81,519,35.4,3.2,54,<0.1,1.9,4,0.1,<0.1,0.1,0.02,<0.1,<0.5,118,89,81.0,17.9,17,52.6,381.1,2.4,<1,0.5,0.4,13.1,1,0.8,2.4,0.2,2.8,3.5,14.1,94.2,19.5,40.1,4.9,19.3,3.6,1.0,3.0,0.5,2.6,0.5,1.3,0.2,1.4,0.2,0.6,21.2,7.9,167,6.7,26.9,0.2,2.1,10.3,15.2,,ALK,Intermediate ,41.0,52.7,7.9,17.7,64.9,1.5,3.0,2.4,92.6,,,,,,,,,
KL0244 6.3M,48.72,0.574,12.07,6.82,0.11,5.75,5.77,3.58,2.69,0.514,0.033,3.43,0.21,13.0,99.60,1140,44.9,6.1,47,<0.1,0.6,2.8,1.1,<0.1,<0.1,<0.01,<0.1,<0.5,120,48,31.5,25.2,17,68.2,911.9,1.3,1,6.0,<0.1,13.8,1,1.8,3.9,0.3,8.2,4.3,17.9,134.2,40.6,92.6,10.6,42.3,8.8,2.1,7.1,0.9,4.3,0.6,1.5,0.2,1.2,0.2,0.5,21.0,11.1,234,7.5,31.2,0.2,6.6,23.5,16.0,,ALK,Intermediate ,47.4,55.6,9.4,22.3,57.1,1.3,3.6,5.8,98.0,,,,,,,,,
KL2329 9FT,47.91,0.765,15.51,8.08,0.22,3.81,7.58,4.49,3.61,0.533,0.009,1.41,<0.02,6.8,99.31,1995,73.5,12.8,184,0.3,12.1,30.7,12.7,1.7,0.3,0.33,<0.1,1,202,<20,17.3,22.1,18,77.3,1745.4,4.6,1,2.9,5.5,18.1,4,4.0,5.2,0.3,19.9,7.5,32.1,199.9,108.7,231.6,25.7,98.3,17.3,4.2,11.4,1.4,6.4,1.0,2.5,0.4,2.3,0.3,0.6,20.3,12.9,261,6.2,26.7,0.2,8.5,33.5,22.3,,ALK,Intermediate ,38.1,47.8,12.1,23.0,55.4,1.3,1.4,0.7,270.3,,,,,,,,,
KL1680 86FT,54.32,0.732,14.84,6.67,0.09,3.74,4.93,2.38,2.88,0.225,0.026,1.87,0.23,8.9,99.78,454,45.5,3.0,56,0.2,314.1,3.3,0.3,0.2,0.1,<0.01,<0.1,<0.5,125,68,52.7,23.5,20,81.0,154.5,2.2,1,7.7,1.3,17.5,1,1.1,3.9,0.3,4.1,5.2,17.0,132.5,23.5,54.4,6.5,26.1,5.1,1.3,4.2,0.6,3.4,0.7,1.8,0.3,1.8,0.3,0.6,20.3,8.9,181,7.8,25.5,0.3,2.2,9.2,15.5,,ALK,Intermediate ,47.5,56.6,7.3,28.3,45.2,2.0,2.1,11.0,104.5,,,,,,,,,
76J0871,55.52,0.636,12.65,7.58,0.15,6.59,6.50,4.88,2.70,0.298,0.064,0.19,0.03,2.0,99.53,1359,4.0,4.0,56,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,0.2,<0.5,157,122,76.9,28.8,23,65.5,858.4,2.1,<1,21.1,0.1,17.7,2,1.9,3.5,0.3,7.9,5.1,14.4,114.8,37.7,84.2,10.1,40.7,6.9,1.7,4.8,0.6,2.8,0.5,1.3,0.2,1.3,0.2,0.6,19.9,9.1,181,8.0,22.5,0.4,6.2,21.3,11.4,,ALK,Intermediate ,44.9,54.0,11.4,19.2,64.4,1.1,0.2,13.6,64.0,,,,,,,,,
KL2325 18FT,45.73,0.780,14.96,7.85,0.13,3.94,6.93,2.71,4.86,0.528,0.010,2.66,1.30,11.0,99.41,1361,270.4,9.1,18,0.2,98,16.9,1,4.2,<0.1,0.01,0.1,2.9,215,27,11.3,8.2,18,184.0,1530.7,12.9,1,11.7,0.4,18.0,3,2.4,5.0,0.3,21.2,7.0,31.4,202.1,105.9,228.9,25.7,100.9,17.2,4.1,11.4,1.5,6.4,1.0,2.7,0.4,2.3,0.3,0.6,19.2,13.5,259,6.4,28.9,0.2,9.3,33.5,25.4,,ALK,Intermediate ,47.7,50.6,9.6,33.5,35.8,1.6,4.0,32.8,297.5,,,,,,,,,
TI2717_1,49.74,0.862,15.22,5.94,0.15,1.22,9.35,5.92,3.12,0.316,<0.002,1.72,0.39,7.2,99.04,4397,16.1,24.2,68,0.2,813.4,2.5,0.1,0.3,0.2,<0.01,<0.1,<0.5,179,<20,4.9,14.1,3,25.9,1760.9,0.4,3,2.6,0.2,15.9,4,10.0,10.8,1.4,46.5,30.8,50.7,458.8,242.6,553.0,62.0,230.4,37.3,9.1,25.3,2.9,11.4,1.6,3.8,0.5,3.0,0.4,0.3,17.7,30.1,532,9.0,14.9,0.6,15.8,59.0,12.7,,ALK,Intermediate ,22.1,29.0,15.3,17.0,65.5,1.0,2.1,18.5,108.3,,,,,,,,,
85J0820,56.31,0.693,12.05,6.71,0.11,4.03,3.99,4.98,1.99,0.582,0.008,2.34,0.99,8.1,99.54,2011,47.3,4.8,50,0.1,496.7,1.2,0.3,0.7,<0.1,<0.01,<0.1,<0.5,112,46,29.9,17.6,13,47.2,502.6,0.7,2,17.2,1.0,14.0,<1,2.3,6.0,0.3,9.7,6.6,24.4,214.1,54.2,118.0,14.3,61.1,10.6,2.8,7.9,1.1,5.0,0.8,2.2,0.3,2.2,0.3,1.1,17.4,17.8,309,8.8,32.4,0.3,4.4,17.6,12.3,,ALK,Intermediate ,40.2,50.6,9.0,18.2,71.4,1.3,3.3,29.7,102.1,,,,,,,,,
76J0163,39.47,1.018,12.03,9.79,0.40,8.54,12.39,2.00,0.62,0.427,0.081,2.51,<0.02,12.9,99.70,174,105.2,1.4,69,<0.1,<0.5,0.7,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,218,155,114.6,45.0,28,10.3,131.3,1.0,1,1.4,<0.1,16.0,<1,1.7,3.5,0.3,5.7,4.8,22.4,120.2,33.1,73.8,9.3,39.8,7.7,2.0,6.2,0.9,4.3,0.7,2.1,0.3,1.8,0.3,0.4,11.8,10.0,118,5.4,25.0,0.2,3.1,13.0,10.0,,ALK,Mafic,38.9,54.6,14.4,4.1,76.3,0.8,2.5,0.8,175.6,Mg mafic,40.5,23.2,36.3,8.81,23.6,12.3,1.27,21.2
76J0377,48.32,0.753,11.64,8.72,0.15,11.13,8.81,3.57,1.33,0.414,0.142,0.70,0.04,4.6,99.57,571,40.0,4.6,51,<0.1,2.5,0.9,<0.1,<0.1,<0.1,0.02,0.3,<0.5,176,288,196.5,41.2,23,48.2,630.8,2.3,1,<0.5,<0.1,14.6,1,1.6,3.4,0.3,5.3,5.0,16.9,117.4,39.0,83.7,10.4,43.9,7.4,1.8,5.5,0.7,3.3,0.6,1.5,0.2,1.4,0.2,0.9,15.5,10.1,156,6.9,23.5,0.3,3.8,20.0,8.9,,ALK,Mafic,50.2,60.5,12.4,9.7,72.9,0.9,0.7,5.4,95.6,Mg mafic,36.6,19.0,44.3,7.85,22.8,10.9,0.94,27.6
83J0238,50.94,0.920,11.91,9.70,0.18,9.96,8.28,3.17,1.61,0.397,0.083,0.02,0.07,2.4,99.57,637,52.8,27.4,78,<0.1,0.8,2.7,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,188,122,76.5,35.5,24,35.6,634.1,1.6,<1,<0.5,3.1,15.0,2,1.6,3.7,0.3,4.9,4.9,20.5,138.4,31.8,75.2,9.0,38.3,7.5,2.0,6.3,0.9,4.3,0.8,2.1,0.3,1.9,0.3,0.5,12.9,11.6,150,6.8,28.2,0.2,2.6,12.3,8.4,,ALK,Mafic,50.3,61.9,11.5,12.3,66.3,1.0,0.1,77.8,158.2,Mg mafic,38.1,21.7,40.3,8.73,23.4,12.1,1.15,24.7
83J0253,49.62,0.938,11.84,9.84,0.16,5.87,7.12,3.02,4.34,0.531,0.024,1.43,0.09,6.2,99.48,1928,217.8,13.5,112,0.2,2.4,2.6,<0.1,<0.1,0.1,<0.01,1.3,<0.5,208,53,62.4,34.6,27,181.3,491.9,17.5,2,0.5,0.4,17.2,4,2.1,4.7,0.3,6.2,7.1,29.0,160.1,37.0,84.1,10.4,44.0,8.6,2.4,7.1,1.1,5.3,1.0,2.6,0.4,2.3,0.4,1.4,12.6,13.5,171,5.5,22.5,0.2,2.7,11.5,7.3,,ALK,Mafic,50.2,59.1,10.1,30.0,41.0,1.2,1.5,5.9,343.3,Mafic,45.3,26.3,28.4,8.85,23.2,12.3,1.17,14.6
83J0284,48.12,0.827,11.30,9.14,0.15,8.78,6.52,2.05,4.79,0.308,0.082,1.40,<0.02,7.4,99.53,1548,7.4,6.4,135,<0.1,0.5,1.6,<0.1,<0.1,0.2,<0.01,1.4,<0.5,193,232,228.2,40.4,24,208.7,343.2,23.0,1,<0.5,1.7,18.8,6,1.2,3.3,0.3,4.2,4.6,21.0,113.5,28.0,64.9,8.4,36.7,7.7,1.7,6.1,0.9,4.4,0.8,2.0,0.3,1.7,0.3,1.6,13.7,10.0,137,5.4,24.7,0.2,2.4,11.7,7.7,,ALK,Mafic,61.3,66.5,8.6,35.9,30.0,1.3,1.4,1.4,148.8,Mg mafic,39.3,22.1,38.6,8.22,22.2,11.4,1.04,21.8
85J0789,49.44,0.460,10.23,6.64,0.12,7.84,6.78,3.00,1.31,0.170,0.083,2.76,0.02,12.3,98.31,226,20.0,3.0,60,< 0.5,,< 5,4,< 0.4,,,< 0.1,,118,110,,27.0,17,16.0,497.0,0.8,2,3.0,< 2,12.0,< 1,0.8,2.1,0.2,3.9,3.0,11.0,79.0,23.0,43.2,5.4,20.8,3.6,1.0,3.2,0.4,2.2,0.4,1.2,0.2,1.2,0.2,,22.2,7.7,172,7.2,26.3,0.3,3.3,13.7,10.9,,ALK,Mafic,48.3,58.5,9.8,11.8,69.6,1.0,2.8,0.7,83.0,Mg mafic,41.5,18.4,40.2,5.97,20.1,8.3,0.58,19.5
85J0830,42.07,0.668,9.67,9.09,0.19,11.47,9.18,2.09,4.24,0.482,0.106,2.38,0.05,10.2,99.48,1914,10.7,9.7,82,<0.1,<0.5,1.9,<0.1,0.2,0.1,<0.01,1,<0.5,189,164,131.1,42.7,26,172.3,392.8,13.0,1,<0.5,1.2,12.2,2,1.2,2.4,0.2,4.6,3.8,19.7,93.6,44.0,100.6,12.3,52.4,9.3,2.3,6.5,0.9,4.2,0.7,1.6,0.2,1.4,0.2,1.4,14.5,9.7,140,4.8,24.6,0.2,3.4,23.0,10.2,,ALK,Mafic,58.2,63.5,11.3,27.3,33.0,0.9,2.4,2.1,102.4,Mg mafic,31.8,20.5,47.7,8.18,19.0,11.4,0.84,28.5
92J0158,51.56,0.647,11.36,8.45,0.14,11.70,8.37,2.49,1.45,0.404,0.125,0.05,<0.02,2.8,99.52,1187,19.4,2.7,43,<0.1,2.1,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,160,310,133.5,46.0,22,46.8,407.8,0.6,1,0.8,<0.1,13.5,1,1.5,3.3,0.2,8.6,4.2,16.3,121.5,42.2,96.8,11.3,45.9,8.5,2.2,6.1,0.8,3.5,0.6,1.4,0.2,1.2,0.2,0.6,17.6,10.7,188,7.5,28.9,0.3,7.1,25.0,17.2,,ALK,Mafic,54.8,64.0,10.9,11.8,63.2,1.0,0.1,28.6,65.1,Mg mafic,35.5,18.2,46.3,7.60,22.3,10.6,0.81,29.0
93D0273,53.91,0.691,12.62,8.51,0.15,8.00,7.34,3.04,3.11,0.492,0.061,0.05,<0.02,1.6,99.52,1458,29.6,5.1,35,<0.1,<0.5,<0.5,<0.1,0.1,<0.1,<0.01,0.1,0.6,182,104,53.9,35.6,26,72.6,674.1,2.4,1,0.6,0.4,15.8,3,2.1,3.0,0.2,5.3,4.4,16.1,102.3,22.8,52.1,6.7,28.8,6.5,1.7,5.3,0.7,3.1,0.6,1.5,0.2,1.4,0.2,0.6,18.3,8.1,148,6.4,23.3,0.3,3.9,12.1,10.1,,ALK,Mafic,51.7,60.1,10.4,23.1,49.4,1.2,0.1,28.6,69.7,Mg mafic,44.1,20.5,35.4,7.66,24.8,10.7,0.87,19.8
BH-23-1 19.8M,44.33,0.761,12.61,6.94,0.08,3.16,14.09,5.44,0.06,0.651,0.024,2.78,0.16,11.7,99.82,24,4.9,1.2,36,<0.1,168.9,2.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,218,34,32.1,25.2,25,1.1,133.3,<0.1,1,9.5,0.1,15.2,<1,2.7,4.9,0.2,10.7,5.8,31.3,177.5,34.6,82.8,10.4,47.2,9.8,2.4,9.2,1.3,6.0,1.1,2.8,0.4,2.2,0.3,0.7,16.6,14.1,233,5.7,30.6,0.2,4.8,11.2,15.5,,ALK,Mafic,14.2,32.2,19.5,0.3,98.9,0.6,2.9,5.4,42.1,Al mafic,58.6,22.8,18.6,6.24,24.7,8.7,0.95,7.8
