SampleID,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Total C,Total S,LOI,Sum,Ba,Cu,Pb,Zn,Ag,Au,As,Sb,Bi,Cd,Hg,Tl,Se,V,Ni,Ni,Co,Sc,Rb,Sr,Cs,Sn,W,Mo,Ga,Be,U,Hf,Ta,Th,Nb,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Wgt,Al2O3/TiO2,Zr/Al2O3,Zr/TiO2,Zr/Y,Zr/Nb,Nb/Y,Th/Yb,(La/Yb)n,(Th/Nb)n,,Affinity,Chemical group,Ishikawa Index,Chlorite Index ,Na2O+CaO,K2O/(K2O+Na2O+CaO),Na2O/(Na2O+K2O),ACN Index,S+C,S/(S+C) (x100),Total BM,Jensen group ,Cat% Al,Cat% Fe+Ti,Cat% Mg,FeO,Cat Al,Cat Fe,Cat Ti,Cat Mg
KL0629 19FT,65.47,0.214,14.90,2.26,0.05,1.30,2.32,6.05,2.93,0.145,0.008,0.86,0.05,4.0,99.60,2653,2.3,9.2,12,<0.1,<0.5,0.6,0.2,0.1,<0.1,<0.01,<0.1,<0.5,27,<20,9.4,4.3,4,69.1,681.7,2.5,1,<0.5,0.2,17.4,3,3.5,3.9,0.3,6.0,7.3,10.0,124.5,29.5,59.7,7.3,29.1,4.8,1.3,3.3,0.4,2.0,0.3,0.8,0.1,0.8,0.1,0.4,69.6,8.4,582,12.5,17.1,0.7,7.2,25.5,6.9,,ALK,Rhyolite ,33.6,28.2,8.4,25.9,67.4,1.8,0.9,5.5,23.5,,,,,,,,,
92J0586,74.27,0.214,13.45,2.74,0.03,0.22,0.71,4.45,1.88,0.046,<0.002,0.19,0.38,1.9,99.88,381,6.0,2.7,21,0.1,235.3,<0.5,0.2,0.1,<0.1,<0.01,<0.1,<0.5,11,<20,1.1,2.2,4,58.2,80.4,1.1,1,4.6,1.6,15.2,<1,1.4,5.0,0.7,5.7,6.4,17.6,182.5,22.6,46.7,5.0,18.1,3.6,0.8,3.3,0.5,2.9,0.6,1.8,0.3,1.8,0.3,0.3,62.9,13.6,853,10.4,28.5,0.4,3.1,8.9,7.5,,ALK,Rhyolite ,28.9,31.3,5.2,26.7,70.3,2.6,0.6,66.7,29.7,,,,,,,,,
83J0266,70.79,0.202,12.49,4.21,0.06,1.01,7.53,1.45,0.29,0.071,0.005,0.07,0.47,1.8,99.90,46,101.0,3.4,59,0.1,2,0.6,<0.1,<0.1,0.1,<0.01,<0.1,<0.5,19,<20,12.1,9.2,3,6.9,168.1,0.3,2,<0.5,3.4,17.7,<1,0.6,3.6,0.6,2.3,6.4,5.2,129.8,17.1,36.8,3.7,13.3,2.1,0.9,1.6,0.2,1.1,0.2,0.5,0.1,0.5,0.1,0.5,61.8,10.4,643,25.0,20.3,1.2,5.1,27.3,3.0,,ALK,Rhyolite ,12.6,32.8,9.0,3.1,83.3,1.4,0.5,87.0,163.4,,,,,,,,,
92J0526,74.14,0.238,13.83,2.02,0.03,0.28,0.81,5.34,1.50,0.063,<0.002,0.17,0.33,1.6,99.88,348,3.0,4.2,10,0.4,642.2,<0.5,0.4,0.1,<0.1,<0.01,<0.1,<0.5,13,<20,1.2,1.5,5,42.6,94.3,0.6,2,9.9,0.6,15.1,<1,1.7,6.1,0.8,7.0,6.9,21.9,204.6,25.6,52.5,5.9,21.5,4.0,0.9,3.9,0.6,3.7,0.8,2.2,0.3,2.2,0.4,0.7,58.1,14.8,860,9.3,29.7,0.3,3.2,8.3,8.5,,ALK,Rhyolite ,22.4,22.7,6.2,19.6,78.1,2.2,0.5,66.0,17.2,,,,,,,,,
92J0501,79.94,0.148,8.48,1.97,0.03,0.27,1.87,4.37,0.33,0.037,0.004,0.54,0.65,2.5,99.91,119,22.5,70.8,22,20,3.9,4.3,20.8,0.2,0.2,<0.01,<0.1,0.7,<8,<20,1.4,3.4,3,17.3,140.8,2.9,6,7.7,0.4,7.0,<1,0.9,3.0,0.7,3.5,4.4,11.8,109.5,14.6,29.8,3.3,12.0,2.3,0.6,2.1,0.4,1.9,0.4,1.1,0.2,1.1,0.2,1.1,57.3,12.9,740,9.3,24.9,0.4,3.2,9.4,6.7,,ALK,Rhyolite ,8.8,19.1,6.2,5.0,93.0,1.4,1.2,54.6,115.3,,,,,,,,,
TI0145,69.08,0.276,13.68,2.81,0.06,1.71,2.79,0.78,3.53,0.064,<0.002,0.80,<0.02,5.1,99.89,362,13.4,4.4,39,<0.1,<0.5,4.3,<0.1,0.1,<0.1,<0.01,<0.1,<0.5,11,<20,2.9,6.4,5,84.1,35.0,2.9,2,<0.5,1.9,15.0,<1,1.3,4.5,0.7,5.1,7.2,18.6,163.5,22.5,49.2,5.0,18.7,3.3,0.7,3.2,0.6,3.0,0.7,1.9,0.3,2.0,0.3,0.4,49.6,12.0,592,8.8,22.7,0.4,2.6,8.1,5.9,,ALK,Rhyolite ,59.5,54.2,3.6,49.7,18.1,3.8,0.8,1.2,56.8,,,,,,,,,
TI0437,64.37,0.180,18.67,1.72,0.03,0.95,0.44,6.59,5.68,0.122,<0.002,<0.02,0.04,1.1,99.86,644,31.7,3.6,28,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,28,<20,4.8,4.7,2,117.4,206.9,0.7,<1,<0.5,<0.1,16.4,<1,6.9,3.9,0.4,19.9,7.2,9.8,107.6,34.0,73.9,8.4,28.8,4.8,1.2,3.6,0.4,2.0,0.3,0.8,0.1,0.8,0.1,0.9,103.7,5.8,598,11.0,14.9,0.7,24.6,30.1,23.2,,ALK,Rhyodacite ,48.5,25.9,7.0,44.7,53.7,2.7,0.1,80.0,63.3,,,,,,,,,
TI1047,70.12,0.187,16.06,1.24,0.02,0.67,2.48,6.18,1.20,0.074,<0.002,0.16,<0.02,1.7,99.95,343,1.7,2.2,34,<0.1,<0.5,1.8,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,19,<20,3.3,4.2,2,23.4,262.9,0.7,<1,<0.5,<0.1,20.3,1,0.6,2.5,0.2,1.1,2.2,3.2,72.9,5.7,14.6,1.7,7.8,1.6,0.4,1.2,0.1,0.7,0.1,0.3,0.0,0.3,0.0,0.8,85.9,4.5,390,22.8,33.1,0.7,4.4,16.4,4.2,,ALK,Rhyodacite ,17.8,17.0,8.7,12.2,83.7,1.9,0.2,5.9,37.9,,,,,,,,,
AN3-62 138.5M,69.18,0.179,15.23,1.45,0.02,0.60,1.49,8.66,0.26,0.190,0.002,0.52,0.54,2.6,99.88,309,6,3,10,<0.1,194.5,1,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,<8,<20,2.9,2.5,2,3,623,<0.1,<1,7.4,0.3,18.8,<1,1.1,3.3,<0.1,2.3,1.5,2.2,83.7,10.4,25.1,3.07,13.7,2.41,0.64,1.34,0.15,0.58,0.07,0.19,0.02,0.16,0.02,,85.1,5.5,468,38.0,55.8,0.7,14.4,46.6,12.9,,ALK,Rhyodacite ,7.8,12.4,10.2,2.5,97.1,1.5,1.1,50.9,18.8,,,,,,,,,
GOL154,72.38,0.187,15.78,1.28,<0.01,0.63,0.28,6.09,1.79,0.008,0.004,0.14,0.40,1.5,99.90,862,27.1,3.9,22,<0.1,112.2,3.7,<0.1,0.1,<0.1,<0.01,<0.1,0.7,15,<20,8.9,2.5,2,41.6,20.5,0.8,<1,6.1,0.7,21.2,1,2.3,3.3,0.2,4.0,3.2,2.3,99.7,12.5,26.2,2.7,8.9,1.5,0.3,0.8,0.1,0.5,0.1,0.2,0.0,0.2,0.0,0.9,84.4,6.3,533,43.3,31.2,1.4,21.1,47.2,10.5,,ALK,Rhyodacite ,27.5,18.4,6.4,21.9,77.3,2.5,0.5,74.1,53.0,,,,,,,,,
