SampleID,SourceID,ProjectID,LGC
74F952,asd,mrd,FALSE
74F982,asd,mrd,FALSE
74F988,asd,mrd,FALSE
74F992,asd,mrd,FALSE
74G101,asd,mrd,FALSE
74G106,asd,mrd,FALSE
74G109,asd,mrd,FALSE
74G127,asd,mrd,FALSE
74G133,asd,mrd,FALSE
74G135,asd,mrd,FALSE
74G136,asd,mrd,FALSE
74G139,asd,mrd,FALSE
74G142,asd,mrd,FALSE
74G143,asd,mrd,FALSE
74G158,asd,mrd,FALSE
74G161,asd,mrd,FALSE
74G166,asd,mrd,FALSE
74G167,asd,mrd,FALSE
74G173_fresh,asd,mrd,FALSE
74G173_weathered,asd,mrd,FALSE
74G176,asd,mrd,FALSE
74G179,asd,mrd,FALSE
74G180,asd,mrd,FALSE
74G185,asd,mrd,FALSE
74G191,asd,mrd,FALSE
74G196,asd,mrd,FALSE
74G197,asd,mrd,FALSE
74G201,asd,mrd,FALSE
74G203,asd,mrd,FALSE
74G206,asd,mrd,FALSE
74G207,asd,mrd,FALSE
74G211,asd,mrd,FALSE
74G214,asd,mrd,FALSE
74G219,asd,mrd,FALSE
74G221,asd,mrd,FALSE
74G230,asd,mrd,FALSE
74G238,asd,mrd,FALSE
74G240,asd,mrd,FALSE
74G241,asd,mrd,FALSE
74G245,asd,mrd,FALSE
74G248,asd,mrd,FALSE
74G249,asd,mrd,FALSE
74G252,asd,mrd,FALSE
74G254,asd,mrd,FALSE
74G262,asd,mrd,FALSE
74G263,asd,mrd,FALSE
74G264,asd,mrd,FALSE
74G268,asd,mrd,FALSE
74G272,asd,mrd,FALSE
74G283,asd,mrd,FALSE
74G308,asd,mrd,FALSE
74G321,asd,mrd,FALSE
74G326,asd,mrd,FALSE
74G344,asd,mrd,FALSE
74G351,asd,mrd,FALSE
74G362,asd,mrd,FALSE
74G398,asd,mrd,FALSE
74G400,asd,mrd,FALSE
74G430,asd,mrd,FALSE
74G436,asd,mrd,FALSE
74G457,asd,mrd,FALSE
74G462,asd,mrd,FALSE
74G472,asd,mrd,FALSE
74G481,asd,mrd,FALSE
74G487,asd,mrd,FALSE
74G491,asd,mrd,FALSE
74G494,asd,mrd,FALSE
74G497,asd,mrd,FALSE
74G500,asd,mrd,FALSE
74G501,asd,mrd,FALSE
74G505,asd,mrd,FALSE
74G509,asd,mrd,FALSE
74G510,asd,mrd,FALSE
74G524,asd,mrd,FALSE
74G535,asd,mrd,FALSE
74G536,asd,mrd,FALSE
74G541,asd,mrd,FALSE
74G542,asd,mrd,FALSE
74J108,asd,mrd,FALSE
74J113,asd,mrd,FALSE
74J114,asd,mrd,FALSE
74J116,asd,mrd,FALSE
74J1176,asd,mrd,FALSE
74J1177,asd,mrd,FALSE
74J1185_fresh,asd,mrd,FALSE
74J1185_weathered,asd,mrd,FALSE
74J1186,asd,mrd,FALSE
74J1188,asd,mrd,FALSE
74J1189,asd,mrd,FALSE
74J1190,asd,mrd,FALSE
74J1191,asd,mrd,FALSE
74J1192,asd,mrd,FALSE
74J1193,asd,mrd,FALSE
74J1197,asd,mrd,FALSE
74J1198,asd,mrd,FALSE
74J1246,asd,mrd,FALSE
74J1250,asd,mrd,FALSE
74J1251,asd,mrd,FALSE
74J1253,asd,mrd,FALSE
74J1257,asd,mrd,FALSE
74J1267,asd,mrd,FALSE
74J1283,asd,mrd,FALSE
74J1287,asd,mrd,FALSE
74J1289,asd,mrd,FALSE
74J1292,asd,mrd,FALSE
74J1294,asd,mrd,FALSE
74J1296,asd,mrd,FALSE
74J1302,asd,mrd,FALSE
74J1303,asd,mrd,FALSE
74J1306,asd,mrd,FALSE
74J1307,asd,mrd,FALSE
74J1309,asd,mrd,FALSE
74J1310,asd,mrd,FALSE
74J1313,asd,mrd,FALSE
74J1314,asd,mrd,FALSE
74J1315,asd,mrd,FALSE
74J1319,asd,mrd,FALSE
74J1321,asd,mrd,FALSE
74J1322,asd,mrd,FALSE
74J1324,asd,mrd,FALSE
74J1325,asd,mrd,FALSE
74J1327,asd,mrd,FALSE
74J1328,asd,mrd,FALSE
74J1333,asd,mrd,FALSE
74J1337,asd,mrd,FALSE
74J1339,asd,mrd,FALSE
74J1340,asd,mrd,FALSE
74J1341,asd,mrd,FALSE
74J1344,asd,mrd,FALSE
74J1345,asd,mrd,FALSE
74J1346,asd,mrd,FALSE
74J1347,asd,mrd,FALSE
74J1349,asd,mrd,FALSE
74J1353,asd,mrd,FALSE
74J1356,asd,mrd,FALSE
74J1362,asd,mrd,FALSE
74J1364,asd,mrd,FALSE
74J1368,asd,mrd,FALSE
74J1377,asd,mrd,FALSE
74J1381,asd,mrd,FALSE
74J1403,asd,mrd,FALSE
74J1404,asd,mrd,FALSE
74J1405,asd,mrd,FALSE
74J1406,asd,mrd,FALSE
74J1500,asd,mrd,FALSE
74J1501,asd,mrd,FALSE
74J1507,asd,mrd,FALSE
74J1508,asd,mrd,FALSE
74J1510,asd,mrd,FALSE
74J1512,asd,mrd,FALSE
74J1514,asd,mrd,FALSE
74J1521,asd,mrd,FALSE
74J1522,asd,mrd,FALSE
74J1529,asd,mrd,FALSE
74J1531,asd,mrd,FALSE
74J1604,asd,mrd,FALSE
74J1606,asd,mrd,FALSE
74J1607,asd,mrd,FALSE
74J1608,asd,mrd,FALSE
74J161,asd,mrd,FALSE
74J1610,asd,mrd,FALSE
