LithoID,SampleID,Isdrillhol,Ishikawa_I,Chlorite_I,Na2O_CaO__,K2O__K2O_N,Na2O__Na2O,ACN_Index,S_C__wt___,S__S_C___x,Total_BM__,Affinity,Revised_gr,Revised_su,Al2O3_TiO2,Zr_Al2O3,Zr_TiO2,Zr_Y,Zr_Nb,Nb_Y,Th_Yb,La_Yb_n,Th_Nb_n,SiO2_4AES_,TiO2_4AES_,Al2O3_4AES,Fe2O3_4AES,MnO_4AES_p,MgO_4AES_p,CaO_4AES_p,Na2O_4AES_,K2O_4AES_p,P2O5_4AES_,Cr2O3_4AES,TOT_C_4AES,TOT_S_4AES,LOI_4AES_p,Sum_4AES_p,Ba_4AES_pp,Cu_1DXMS_p,Pb_1DXMS_p,Zn_1DXMS_p,Ag_1DXMS_p,Au_1DXMS_p,As_1DXMS_p,Sb_1DXMS_p,Bi_1DXMS_p,Cd_1DXMS_p,Hg_1DXMS_p,Tl_1DXMS_p,Se_1DXMS_p,V_4AES_ppm,Ni_4AES_pp,Ni_1DXMS_p,Co_4AES_pp,Sc_4AES_pp,Rb_4AES_pp,Sr_4AES_pp,Cs_4AES_pp,Sn_4AES_pp,W_4AES_ppm,Mo_1DXMS_p,Ga_4AES_pp,Be_4AES_pp,U_4AES_ppm,Hf_4AES_pp,Ta_4AES_pp,Th_4AES_pp,Nb_4AES_pp,Y_4AES_ppm,Zr_4AES_pp,La_4AES_pp,Ce_4AES_pp,Pr_4AES_pp,Nd_4AES_pp,Sm_4AES_pp,Eu_4AES_pp,Gd_4AES_pp,Tb_4AES_pp,Dy_4AES_pp,Ho_4AES_pp,Er_4AES_pp,Tm_4AES_pp,Yb_4AES_pp,Lu_4AES_pp,Wgt_4AES_k,LABJOBNO,Cat__Al,Cat__Fe_Ti,Cat__Mg,FeO,Cat_Al,Cat_Fe,Cat_Ti,Cat_Mg,MERGE,MERGE_2
610107,TI0328,N,81.4,77.3,1.1,77.9,7.3,13,0.93,62.365591,2625.2,ALK,Dacite,Porphyry,42.705167,10.327402,441.033435,8.793939,22.323077,0.393939,3.27957,8.599882,7.872036,71.79,0.329,14.05,3.61,0.39,0.93,0.78,0.3,3.8,0.073,<0.002,0.35,0.58,3.5,99.59,443,17.4,471.8,2136,6.1,22.3,27.3,0.9,0.6,12,0.04,<0.1,1.3,32,<20,7.7,5.8,7,87.7,28.6,1.2,20,1.2,1,15.1,<1,1.7,4.8,0.8,6.1,6.5,16.5,145.1,22.3,43.2,5.14,19.2,3.4,0.76,3.02,0.47,2.58,0.56,1.67,0.28,1.86,0.29,0.4,VAN09005164,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
609867,85J0717,N,73.1,66.8,2.7,63.3,31.2,7.1,2.68,39.179104,831.5,ALK,Dacite,Porphyry,42.104121,7.769191,327.114967,11.6,27.925926,0.415385,5.2,2.065823,10.09695,58.77,0.461,19.41,4.07,0.06,2.72,0.59,2.13,4.69,0.119,0.026,1.63,1.05,6.7,99.75,665,86.4,21.1,724,0.2,<0.5,9.5,0.1,0.4,1.6,0.03,<0.1,1.8,80,101,102.5,15,14,121.6,127.8,3.7,10,0.7,2.3,26.9,<1,1.6,4.3,0.5,6.5,5.4,13,150.8,3.6,10.3,1.49,6.2,2.22,0.8,2.46,0.43,2.41,0.47,1.2,0.19,1.25,0.2,0.54,VAN09004086,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
610228,SM09004,N,27.7,29.6,8.3,19.7,69.8,2,0.56,1.785714,56.9,ALK,Dacite,Porphyry,41.287129,6.936451,286.386139,20.298246,34.029412,0.596491,5,24.244726,6.16782,64.87,0.404,16.68,2.63,0.04,1.14,3.61,4.73,2.05,0.126,0.002,0.55,<0.02,3.5,99.83,552,12.7,1.2,43,<0.1,1.4,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,47,<20,9.1,7.7,4,51.9,427.8,0.6,1,2.8,<0.1,21.5,<1,0.7,3.2,0.2,2.5,3.4,5.7,115.7,16.9,37.1,4.5,18.8,3.19,0.8,2.31,0.27,1.24,0.19,0.53,0.08,0.5,0.08,1.03,VAN09005165,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
610016,93D0013,N,34.8,28.5,7.8,29.2,63.7,2,0.04,50,35,ALK,Dacite,Porphyry,40.564103,8.078382,327.692308,25.058824,39.9375,0.627451,25.217391,106.347459,15.203676,67.86,0.39,15.82,2.44,0.03,0.94,2.16,5.67,3.23,0.229,<0.002,0.02,<0.02,0.8,99.56,1972,3.1,5.9,26,<0.1,1.8,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,33,<20,1.6,3.4,3,67.6,1394.8,0.9,1,<0.5,0.1,24,2,1.5,4,0.2,5.8,3.2,5.1,127.8,34.1,80.5,9.6,38.9,6.8,1.6,3.92,0.38,1.33,0.13,0.32,0.04,0.23,0.03,0.37,VAN09004086,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
0,KL1074,N,40.1,38.2,8.4,28.3,57.5,1.6,1.62,4.938272,62.7,ALK,Dacite,Porphyry,39.852941,9.845018,392.352941,9.263889,20.84375,0.444444,4.615385,18.269682,7.077574,61.73,0.34,13.55,3.27,0.07,2.3,3.89,4.48,3.31,0.153,0.021,1.54,0.08,6.5,99.6,1943,18.3,13.4,31,<0.1,1,1.6,0.9,0.1,<0.1,<0.01,<0.1,<0.5,32,46,34.9,7.5,8,97.1,728.3,2.4,1,1.4,0.7,17.5,3,3.1,4.1,0.3,5.4,6.4,14.4,133.4,29.8,63,7.54,30.5,5.41,1.39,4.14,0.56,2.51,0.48,1.27,0.2,1.17,0.19,0.67,VAN09006313,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
609592,83J0212,N,34.1,50,6.4,3.7,96,2.2,0.06,33.333333,31.3,ALK,Dacite,Porphyry,39.665738,8.419944,333.983287,18.446154,23.057692,0.8,10.75,6.186709,13.872851,69.13,0.359,14.24,3.74,0.03,3.07,0.39,6.03,0.25,0.123,0.012,0.04,<0.02,2.5,99.88,31,5.9,2.4,23,<0.1,0.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,73,39,38.1,11.5,9,6.5,149.6,0.3,1,0.9,0.5,18.3,<1,2.7,3.4,0.5,8.6,5.2,6.5,119.9,6.9,16.7,1.86,6.6,1.39,0.38,1.23,0.22,1.16,0.25,0.74,0.13,0.8,0.13,0.92,VAN09004085,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
0,85J0634,N,37.3,41.4,9.2,26,63,1.9,0.08,12.5,91,ALK,Dacite,Porphyry,38.066667,8.639813,328.888889,14.8,29.6,0.5,6.454545,18.062908,11.911294,61.07,0.45,17.13,4.74,0.088,2.22,3.66,5.51,3.23,0.16,0.010227,0.07,0.01,0.59,98.85,1262,5,16,70,< 0.5,,< 5,< 0.5,< 0.4,,,0.2,,93,30,0,12,7,90,1117,2.4,2,< 1,< 2,22,2,1.3,3.8,0.3,7.1,5,10,148,27.7,52.6,6.41,24,4,1.09,3.2,0.4,2,0.4,1.1,0.17,1.1,0.15,0,,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
609608,83J0187,N,38.3,29.7,7.3,32.4,60.2,2.1,0.04,50,40.1,ALK,Dacite,Porphyry,37.675545,10.411311,392.251816,27,34.468085,0.783333,15.365854,63.157353,11.243805,68.13,0.413,15.56,2.3,0.03,1.02,1.99,5.27,3.48,0.177,<0.002,0.02,<0.02,1.3,99.67,1246,3.3,1.8,35,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,46,<20,8.8,5.8,3,68.4,895.6,0.5,<1,<0.5,0.2,20.5,1,2.3,4.5,0.3,6.3,4.7,6,162,36.1,74.9,9.07,34.2,4.77,1.16,2.61,0.3,1.26,0.19,0.43,0.07,0.41,0.06,0.57,VAN09004085,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
609765,85J0044,N,32,33.3,8.1,21.4,68.6,1.9,0.63,3.174603,74.6,ALK,Dacite,Porphyry,37.096774,7.505017,278.411911,17.53125,35.0625,0.5,8.043478,24.793616,9.698897,66.1,0.403,14.95,2.71,0.03,1.6,3.26,4.79,2.19,0.158,0.007,0.61,<0.02,3.6,99.86,529,19.9,1.7,53,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.7,49,31,19.8,8.3,4,48.8,241.3,1.5,<1,0.9,<0.1,20.1,1,1.1,3.4,0.2,3.7,3.2,6.4,112.2,15.9,35.3,4.37,17.2,3.13,0.77,2.36,0.32,1.22,0.22,0.51,0.08,0.46,0.07,0.76,VAN09004085,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
609559,73J1155,N,43,76.7,4.5,2.6,96.2,2.7,0.06,33.333333,72.3,ALK,Dacite,Porphyry,36.443769,8.340284,303.951368,11.494253,35.714286,0.321839,2.261905,10.161744,5.692017,63.64,0.329,11.99,12.7,0.08,3.24,1.45,3,0.12,0.114,0.003,0.04,<0.02,3.2,99.86,29,9.1,1.2,62,<0.1,3.6,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,45,<20,17.6,11.4,6,7.9,190.8,0.3,<1,<0.5,<0.1,12.7,<1,0.5,3.2,0.3,1.9,2.8,8.7,100,11.9,26.1,3.04,11.9,2.16,0.76,1.93,0.29,1.69,0.3,0.86,0.13,0.84,0.13,0.37,VAN09004085,,,,,,,,,Dacite Porphyry,ALK Dacite Porphyry
