LithoID,SampleID,Isdrillhol,SiO2_4AES_,TiO2_4AES_,Al2O3_4AES,Fe2O3_4AES,MnO_4AES_p,MgO_4AES_p,CaO_4AES_p,Na2O_4AES_,K2O_4AES_p,P2O5_4AES_,Cr2O3_4AES,TOT_C_4AES,TOT_S_4AES,LOI_4AES_p,Sum_4AES_p,Ba_4AES_pp,Cu_1DXMS_p,Pb_1DXMS_p,Zn_1DXMS_p,Ag_1DXMS_p,Au_1DXMS_p,As_1DXMS_p,Sb_1DXMS_p,Bi_1DXMS_p,Cd_1DXMS_p,Hg_1DXMS_p,Tl_1DXMS_p,Se_1DXMS_p,V_4AES_ppm,Ni_4AES_pp,Ni_1DXMS_p,Co_4AES_pp,Sc_4AES_pp,Rb_4AES_pp,Sr_4AES_pp,Cs_4AES_pp,Sn_4AES_pp,W_4AES_ppm,Mo_1DXMS_p,Ga_4AES_pp,Be_4AES_pp,U_4AES_ppm,Hf_4AES_pp,Ta_4AES_pp,Th_4AES_pp,Nb_4AES_pp,Y_4AES_ppm,Zr_4AES_pp,La_4AES_pp,Ce_4AES_pp,Pr_4AES_pp,Nd_4AES_pp,Sm_4AES_pp,Eu_4AES_pp,Gd_4AES_pp,Tb_4AES_pp,Dy_4AES_pp,Ho_4AES_pp,Er_4AES_pp,Tm_4AES_pp,Yb_4AES_pp,Lu_4AES_pp,Wgt_4AES_k,LABJOBNO,Cat__Al,Cat__Fe_Ti,Cat__Mg,FeO,Cat_Al,Cat_Fe,Cat_Ti,Cat_Mg,MERGE,MERGE_2
610394,MT87-11,N,51.45,0.838,13.96,11.67,0.19,6.39,7.64,3.78,0.09,0.061,0.008,0.41,0.14,3.7,99.76,40,126.3,0.7,60,<0.1,1.9,1.7,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,302,67,45.5,45.1,47,0.5,70.8,<0.1,<1,<0.5,0.1,12.6,<1,0,1.4,<0.1,0.3,1.6,20,45.9,2.3,7.1,1.01,5.8,1.72,0.64,2.6,0.5,3.23,0.72,2.16,0.34,2.36,0.36,0.35,VAN09005164,46.48908943,26.59457685,26.91633372,10.500666,27.38275044,14.61551931,1.04907361,15.85411239,Mafic A,THOL Mafic A
609835,85J0423,N,47.2,0.909,15.02,14.59,0.18,7.64,9.17,1.5,0.2,0.074,0.02,<0.02,0.04,3.2,99.75,44,106.5,0.5,77,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,247,178,137.3,58,29,7.6,140,0.7,<1,<0.5,<0.1,14.8,<1,0.1,1.6,0.1,0.3,2.5,18.6,51.9,3.7,9.7,1.47,7.2,2.15,0.79,2.73,0.51,3.14,0.69,2.03,0.32,2.07,0.32,1.32,VAN09004086,43.43633359,28.61725744,27.94640897,13.128082,29.46195642,18.27253013,1.137956935,18.95546458,Mafic A,THOL Mafic A
610360,K64-57,N,44.75,1.138,18.79,10.82,0.18,4.55,10.5,1.82,0.75,0.025,0.025,1.01,1.18,6.4,99.83,87,195.2,1.4,138,<0.1,1.3,2.9,<0.1,0.2,0.2,<0.01,<0.1,1.7,236,227,205.9,71.5,40,18.8,122.9,0.7,1,<0.5,0.1,20.6,<1,0.2,1.7,0.2,0.2,2.9,8.1,44.4,1.1,3.1,0.5,2.8,1.01,0.58,1.3,0.26,1.73,0.37,1.15,0.16,1.26,0.18,0.89,VAN09005164,58.39044277,23.72509814,17.88445909,9.735836,36.85686825,13.55097848,1.424636955,11.28892197,Mafic A,THOL Mafic A
610098,TI1375,N,50.01,0.745,12.3,9.33,0.14,6.92,8.87,3.96,0.33,0.057,0.009,1.12,<0.02,7.1,99.79,115,137.3,0.3,33,<0.1,1.1,2.2,<0.1,<0.1,0.1,<0.01,<0.1,<0.5,239,66,36.5,33.3,42,4.5,94.4,<0.1,<1,<0.5,0.1,11.8,<1,0,1.4,<0.1,0,1.5,18.5,44.5,2,6.1,0.9,4.4,1.61,0.53,2.55,0.5,3.13,0.73,2.17,0.36,2.19,0.34,0.72,VAN09005164,44.75082832,23.40342135,31.84575033,8.395134,24.12663541,11.68490104,0.932648973,17.16908572,Mafic A,THOL Mafic A
610225,TB09022,N,48.87,0.764,12.57,10.4,0.18,4.89,9.26,3,0.02,0.067,0.006,1.95,0.04,9.8,99.82,4,125.6,1.1,77,0.1,1.7,3.7,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,267,51,48,41.8,44,0.3,54.9,<0.1,<1,0.7,0.1,12.7,<1,0,1.3,0.1,0.2,1.6,18.3,42.1,2.2,6.1,0.99,5.2,1.76,0.55,2.47,0.48,2.96,0.67,2.03,0.3,2.13,0.33,1.32,VAN09005165,48.56446128,27.53863789,23.89690084,9.35792,24.65624448,13.02497008,0.956434652,12.13248977,Mafic A,THOL Mafic A
609952,92J0419,N,50.77,0.909,14.89,11.57,0.17,7.34,8.32,2.26,0.06,0.082,0.024,0.12,0.05,3.4,99.77,30,77.4,0.4,54,<0.1,0.7,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,264,117,75.7,45.6,37,0.9,137.4,0.2,<1,<0.5,0.1,16.5,<1,0,1.7,0.2,0.4,2.3,19.4,56.4,3,8.5,1.35,6.6,2.12,0.75,2.78,0.55,3.48,0.77,2.3,0.36,2.24,0.35,0.38,VAN09004086,46.32618082,24.78849243,28.88532675,10.410686,29.20695946,14.49027921,1.137956935,18.21114006,Mafic A,THOL Mafic A
609551,73J1131,N,54.56,0.906,14.77,9.39,0.16,4.93,5.59,3.17,0.26,0.061,0.043,0.63,<0.02,6,99.81,63,85.9,1.5,62,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,244,126,119.1,45.5,34,5.9,71.1,0.1,2,<0.5,<0.1,14.8,<1,0,1.5,0.2,0.3,2.2,15,44.6,2.7,7.2,1.12,6.2,1.74,0.66,2.2,0.43,2.74,0.57,1.67,0.26,1.63,0.25,0.63,VAN09004085,53.55431781,23.83517315,22.61050904,8.449122,28.97157765,11.7600451,1.134201302,12.23173304,Mafic A,THOL Mafic A
609923,92J0190,N,53.3,0.782,12.72,11.24,0.2,5.99,14.04,0.35,0.06,0.066,0.011,0.04,<0.02,1,99.8,11,22.2,1.3,9,<0.1,<0.5,0.6,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,298,59,8.8,42.3,47,1.9,29.8,0.2,<1,<0.5,0.1,15.6,<1,0,1.3,<0.1,0.2,1.7,19.2,41.9,2.5,6.7,1.07,5.5,1.91,0.64,2.48,0.48,2.99,0.68,2.13,0.33,2.06,0.33,0.46,VAN09004086,45.4735423,27.44026763,27.08619008,10.113752,24.95047174,14.07698689,0.978968453,14.86167969,Mafic A,THOL Mafic A
609976,92J0605,N,51.56,0.854,13.8,12.67,0.22,7.01,8.96,3.03,0.62,0.061,0.011,0.04,0.03,0.9,99.74,119,86.9,3.7,16,0.3,1.4,<0.5,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,323,70,11.5,45.9,49,22.9,177.5,1,<1,<0.5,0.2,14.8,<1,0,1.4,<0.1,0.2,1.8,22,46.9,2.4,6.8,1.11,6.3,1.98,0.7,2.66,0.56,3.37,0.8,2.5,0.39,2.56,0.4,0.75,VAN09004086,44.08737929,27.58548654,28.32713417,11.400466,27.06890803,15.86792027,1.069103656,17.39238308,Mafic A,THOL Mafic A
609885,83J0435,N,49.6,0.83,13.35,15.34,0.22,6.91,8.9,3.08,0.57,0.045,0.01,0.04,0.11,0.9,99.73,68,110.7,1.1,28,<0.1,1.1,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.7,314,72,22.6,56.4,47,12.1,137.2,0.2,<1,<0.5,0.1,15.9,<1,0.1,1.4,0.2,0.4,2.4,22,55.9,4.1,10.8,1.58,8.4,2.22,0.75,2.99,0.58,3.78,0.81,2.47,0.39,2.53,0.38,0.9,VAN09004086,41.18536257,31.85034058,26.96429686,13.802932,26.18622624,19.21183086,1.039058588,17.1442749,Mafic A,THOL Mafic A
